site_id,ERA_VARIABLE,ERA_SLOPE,ERA_INTERCEPT,ERA_RMSE,ERA_CORRELATION
AU-Boy,P,1,-9999,-9999,-9999
AU-Boy,SW_IN,1,14.01,51.39,0.92
AU-Boy,LW_IN,1,0.27,12.95,0.73
AU-Boy,LW_IN_JSB,1,-0,10.46,0.77
AU-Col,TA,1,0,0.3,0.97
AU-Col,PA,1,-0,0.05,0.96
AU-Col,VPD,1,0,0.51,0.96
AU-Col,WS,1,0.15,0.22,0.75
AU-Col,P,-9999,-9999,-9999,-9999
AU-Col,SW_IN,1,18.97,32.66,0.87
AU-Col,LW_IN,1,-0,4.76,0.78
AU-Col,LW_IN_JSB,1,0,6.69,0.73
AU-Cow,TA,1,0,1.1,0.78
AU-Cow,PA,1,-0,0.16,0.8
AU-Cow,VPD,1,-0,2.32,0.62
AU-Cow,WS,1,0.09,0.43,0.35
AU-Cow,P,1,-9999,-9999,-9999
AU-Cow,SW_IN,1,5.15,69.56,0.84
AU-Cow,LW_IN,1,-0.01,11.18,0.67
AU-Cow,LW_IN_JSB,1,-0.02,12.1,0.71
AU-Cpr,TA,1,0,1.83,0.92
AU-Cpr,PA,1,-0,0.15,0.93
AU-Cpr,VPD,1,0,3.34,0.9
AU-Cpr,WS,1,0.07,0.63,0.72
AU-Cpr,P,1,-9999,-9999,-9999
AU-Cpr,SW_IN,1,31.73,107.12,0.81
AU-Cpr,LW_IN,1,-0,12.15,0.86
AU-Cpr,LW_IN_JSB,1,-0.01,19.93,0.78
AU-Ctr,TA,1,0,0.48,0.89
AU-Ctr,PA,1,0,0.05,0.95
AU-Ctr,VPD,1,0,1.04,0.66
AU-Ctr,WS,1,0.21,0.42,0.14
AU-Ctr,P,1,-9999,-9999,-9999
AU-Ctr,SW_IN,1,4.76,65.43,0.81
AU-Ctr,LW_IN,1,-0,5.66,0.76
AU-Ctr,LW_IN_JSB,1,0,8.61,0.72
AU-Cum,TA,1,0,1.16,0.93
AU-Cum,PA,1,0,0.16,0.9
AU-Cum,VPD,1,0,2.09,0.88
AU-Cum,WS,1,0.13,0.41,0.58
AU-Cum,P,1,-9999,-9999,-9999
AU-Cum,SW_IN,1,29.51,94.84,0.77
AU-Cum,LW_IN,1,0.01,10.91,0.87
AU-Cum,LW_IN_JSB,1,-0,18.49,0.8
AU-DaP,TA,1,0,0.81,0.92
AU-DaP,PA,1,0,0.08,0.81
AU-DaP,VPD,1,0,1.87,0.89
