site_id,ERA_VARIABLE,ERA_SLOPE,ERA_INTERCEPT,ERA_RMSE,ERA_CORRELATION
BR-Npw,SW_IN,1,7.57,29.82,0.91
BR-Npw,LW_IN,1,0,3.05,0.88
BR-Npw,LW_IN_JSB,1,-0.02,9.58,0.66
BR-SM1,TA,1,0,0.25,0.96
BR-SM1,PA,1,0,0.01,0.99
BR-SM1,VPD,1,0,0.43,0.79
BR-SM1,WS,1,-0.01,0.13,0.5
BR-SM1,P,-9999,-9999,-9999,-9999
BR-SM1,SW_IN,1,7.27,16.49,0.92
BR-SM1,LW_IN,-9999,-9999,-9999,-9999
BR-SM1,LW_IN_JSB,1,-0.5,3.48,0.83
BR-Sa1,TA,1,-0,0.66,0.64
BR-Sa1,PA,1,0,0.07,0.57
BR-Sa1,VPD,1,-0.03,1.42,0.65
BR-Sa1,WS,1,0.24,0.34,0.24
BR-Sa1,P,1,-9999,-9999,-9999
BR-Sa1,SW_IN,1,18.5,61.28,0.83
BR-Sa1,LW_IN,-9999,-9999,-9999,-9999
BR-Sa1,LW_IN_JSB,1,-0.03,8.82,0.29
BR-Sa3,TA,1,-0,0.46,0.73
BR-Sa3,PA,1,-0,0.03,0.81
BR-Sa3,VPD,1,0,0.9,0.7
BR-Sa3,WS,1,0.25,0.27,0.23
BR-Sa3,P,1,-9999,-9999,-9999
BR-Sa3,SW_IN,1,17.69,43.04,0.81
BR-Sa3,LW_IN,1,0.05,3.46,0.58
BR-Sa3,LW_IN_JSB,1,-0.2,4.82,0.3
BR-Xpw,TA,1,-0,0.79,0.89
BR-Xpw,PA,1,-0,0.05,0.91
BR-Xpw,VPD,1,-0,1.83,0.87
BR-Xpw,WS,1,0.04,0.26,0.51
BR-Xpw,P,1,-9999,-9999,-9999
BR-Xpw,SW_IN,1,12.01,45.59,0.88
BR-Xpw,LW_IN,1,-0,4.51,0.89
BR-Xpw,LW_IN_JSB,1,0,8.79,0.83
BW-Gum,TA,1,0,0.61,0.89
BW-Gum,PA,1,0,0.02,0.98
BW-Gum,VPD,1,-0,1.22,0.84
BW-Gum,WS,1,0.01,0.18,0.48
BW-Gum,P,-9999,-9999,-9999,-9999
BW-Gum,SW_IN,1,17.13,37.59,0.86
BW-Gum,LW_IN,-9999,-9999,-9999,-9999
BW-Gum,LW_IN_JSB,1,-0.09,5.79,0.89
BW-Nxr,TA,1,0.01,0.5,0.81
BW-Nxr,PA,1,0,0.01,0.96
BW-Nxr,VPD,1,0.01,0.92,0.79
BW-Nxr,WS,1,0.05,0.18,0.45
BW-Nxr,P,-9999,-9999,-9999,-9999
BW-Nxr,SW_IN,1,20.63,29.7,0.81
BW-Nxr,LW_IN,-9999,-9999,-9999,-9999
BW-Nxr,LW_IN_JSB,1,-0.78,4.49,0.82
CA-ARB,TA,1,-0,1.3,0.99
CA-ARB,PA,1,0,0.16,0.95
CA-ARB,VPD,1,-0,1,0.93
CA-ARB,WS,1,0.02,0.68,0.81
CA-ARB,P,1,-9999,-9999,-9999
CA-ARB,SW_IN,1,8.26,50.52,0.92
CA-ARB,LW_IN,1,0,12.5,0.95
CA-ARB,LW_IN_JSB,1,-0.01,18.04,0.93
CA-ARF,TA,1,-0,1.27,0.99
CA-ARF,PA,1,-0,0.15,0.95
CA-ARF,VPD,1,-0,0.97,0.93
CA-ARF,WS,1,0,0.57,0.81
CA-ARF,P,1,-9999,-9999,-9999
CA-ARF,SW_IN,1,7.6,49.37,0.92
CA-ARF,LW_IN,1,-0,11.91,0.95
CA-ARF,LW_IN_JSB,1,0,17.78,0.93
CA-BOU,TA,1,0,0.56,0.98
CA-BOU,PA,1,0.13,0.03,0.98
CA-BOU,VPD,1,0,0.37,0.88
CA-BOU,WS,1,-0.03,0.22,0.64
CA-BOU,P,1,-9999,-9999,-9999
CA-BOU,SW_IN,1,3.94,20.67,0.91
CA-BOU,LW_IN,1,0,4.03,0.95
CA-BOU,LW_IN_JSB,1,-0.01,5.3,0.91
CA-CF1,TA,1,-0,0.3,0.92
CA-CF1,PA,1,0,0.07,0.53
CA-CF1,VPD,1,-0,0.27,0.84
CA-CF1,WS,1,0.11,0.15,0.82
CA-CF1,P,1,-9999,-9999,-9999
CA-CF1,SW_IN,1,6.37,10.92,0.91
CA-CF1,LW_IN,-9999,-9999,-9999,-9999
CA-CF1,LW_IN_JSB,1,-0.01,3.77,0.69
CA-CF2,TA,1,-0,0.41,0.94
CA-CF2,PA,1,0,0.1,0.53
CA-CF2,VPD,1,-0,0.4,0.8
CA-CF2,WS,1,0.05,0.24,0.86
CA-CF2,P,1,-9999,-9999,-9999
CA-CF2,SW_IN,1,7.81,19.49,0.9
CA-CF2,LW_IN,-9999,-9999,-9999,-9999
CA-CF2,LW_IN_JSB,1,0,5.83,0.68
CA-CF3,TA,1,0,0.61,0.99
CA-CF3,PA,1,-0,0.02,1
CA-CF3,VPD,1,-0,0.4,0.88
CA-CF3,WS,1,-0.03,0.32,0.84
CA-CF3,P,1,-9999,-9999,-9999
CA-CF3,SW_IN,1,6.34,21.31,0.91
CA-CF3,LW_IN,1,-0.08,5.97,0.94
CA-CF3,LW_IN_JSB,1,-0.42,9.07,0.92
CA-Ca1,TA,1,-0,3.43,0.43
CA-Ca1,PA,1,0,0.14,0.95
CA-Ca1,VPD,1,0,1.69,0.74
CA-Ca1,WS,1,0.11,0.51,0.62
CA-Ca1,P,1,-9999,-9999,-9999
CA-Ca1,SW_IN,1,5.23,54.13,0.89
CA-Ca1,LW_IN,1,0,11.93,0.82
CA-Ca1,LW_IN_JSB,1,-0.01,29.8,0.29
CA-Ca2,TA,1,0,1.11,0.95
CA-Ca2,PA,1,-0,0.14,0.93
CA-Ca2,VPD,1,0,0.96,0.92
CA-Ca2,WS,1,0.08,0.27,0.39
CA-Ca2,P,1,-9999,-9999,-9999
CA-Ca2,SW_IN,1,4.46,46.5,0.9
CA-Ca2,LW_IN,-9999,-9999,-9999,-9999
CA-Ca2,LW_IN_JSB,1,-0,13.97,0.76
CA-Ca3,TA,1,-0,1.26,0.92
CA-Ca3,PA,1,-0,0.38,0.82
CA-Ca3,VPD,1,0,1.01,0.86
CA-Ca3,WS,1,0.23,0.52,0.33
CA-Ca3,P,1,-9999,-9999,-9999
CA-Ca3,SW_IN,1,6.88,57.41,0.9
CA-Ca3,LW_IN,1,0,17.28,0.81
CA-Ca3,LW_IN_JSB,1,-0.01,13.69,0.73
CA-Cbo,TA,1,0,1.28,0.99
CA-Cbo,PA,1,0,0.16,0.96
CA-Cbo,VPD,1,0,1.44,0.93
CA-Cbo,WS,1,0.11,0.68,0.67
CA-Cbo,P,-9999,-9999,-9999,-9999
CA-Cbo,SW_IN,1,4.01,80.35,0.9
CA-Cbo,LW_IN,1,-0,14.14,0.92
CA-Cbo,LW_IN_JSB,1,-0.01,25.82,0.9
CA-DB2,TA,1,-0,0.95,0.92
CA-DB2,PA,1,-0,0.03,1
CA-DB2,VPD,1,-0,0.72,0.85
CA-DB2,WS,1,0.06,0.4,0.61
CA-DB2,P,1,-9999,-9999,-9999
CA-DB2,SW_IN,1,3.27,26.89,0.93
CA-DB2,LW_IN,1,0,6.47,0.84
CA-DB2,LW_IN_JSB,1,-0.01,10.53,0.79
CA-DBB,TA,1,0,0.93,0.95
CA-DBB,PA,1,0,0.04,0.99
CA-DBB,VPD,1,0,0.87,0.87
CA-DBB,WS,1,0,0.61,0.57
CA-DBB,P,1,-9999,-9999,-9999
CA-DBB,SW_IN,1,4.75,41.8,0.92
CA-DBB,LW_IN,1,0.01,8.72,0.83
CA-DBB,LW_IN_JSB,1,-0,13.22,0.79
CA-DSM,TA,1,-0,0.45,0.97
CA-DSM,PA,1,-0,0.07,0.95
CA-DSM,VPD,1,-0,0.52,0.83
CA-DSM,WS,1,0.2,0.37,0.72
CA-DSM,P,1,-9999,-9999,-9999
CA-DSM,SW_IN,1,3.43,24.52,0.92
CA-DSM,LW_IN,1,0,5.11,0.85
CA-DSM,LW_IN_JSB,1,0,7.59,0.8
CA-EM1,TA,1,0,0.42,0.99
CA-EM1,PA,1,-0,0.05,0.97
CA-EM1,VPD,1,-0,0.41,0.94
CA-EM1,WS,1,-0.04,0.28,0.82
CA-EM1,P,1,-9999,-9999,-9999
CA-EM1,SW_IN,1,7.45,25.33,0.91
CA-EM1,LW_IN,1,0,5.33,0.94
CA-EM1,LW_IN_JSB,1,-0,8.58,0.92
CA-EM2,TA,1,0,0.46,0.99
CA-EM2,PA,1,-0,0.03,0.99
CA-EM2,VPD,1,0,0.47,0.93
CA-EM2,WS,1,-0.07,0.27,0.84
CA-EM2,P,1,-9999,-9999,-9999
CA-EM2,SW_IN,1,6.45,24.19,0.91
CA-EM2,LW_IN,1,0.01,5.18,0.94
CA-EM2,LW_IN_JSB,1,-0,8.63,0.92
CA-Gro,TA,1,0,0.9,0.99
CA-Gro,PA,1,-0,0.04,0.99
CA-Gro,VPD,1,-0,0.88,0.93
CA-Gro,WS,1,0.09,0.42,0.82
CA-Gro,P,1,-9999,-9999,-9999
CA-Gro,SW_IN,1,5.35,47.67,0.9
CA-Gro,LW_IN,1,0,11.76,0.93
CA-Gro,LW_IN_JSB,1,-0.01,16.3,0.91
CA-HPC,TA,1,-0,0.3,0.99
CA-HPC,PA,1,-0,0.01,1
CA-HPC,VPD,1,-0,0.17,0.93
CA-HPC,WS,1,0.12,0.19,0.57
CA-HPC,P,1,-9999,-9999,-9999
CA-HPC,SW_IN,1,7.58,10.94,0.89
CA-HPC,LW_IN,1,0.01,2.47,0.92
CA-HPC,LW_IN_JSB,1,0,5.27,0.9
CA-KLP,TA,1,0,1.01,0.99
CA-KLP,PA,1,0,0.15,0.94
CA-KLP,VPD,1,0,0.86,0.93
CA-KLP,WS,1,0,0.52,0.78
CA-KLP,P,1,-9999,-9999,-9999
CA-KLP,SW_IN,1,10.02,46.72,0.91
CA-KLP,LW_IN,1,-0,10.84,0.94
CA-KLP,LW_IN_JSB,1,-0,15.4,0.93
CA-LP1,TA,1,0,1.82,0.96
CA-LP1,PA,1,-0,0.19,0.9
CA-LP1,VPD,1,0,1.15,0.93
CA-LP1,WS,1,0.1,0.62,0.65
CA-LP1,P,1,-9999,-9999,-9999
CA-LP1,SW_IN,1,3.3,59.17,0.89
CA-LP1,LW_IN,1,-0,16.51,0.86
CA-LP1,LW_IN_JSB,1,0,22.45,0.83
CA-LU1,TA,1,0,0.78,0.98
CA-LU1,PA,1,-0,0.02,0.99
CA-LU1,VPD,1,0,0.59,0.92
CA-LU1,WS,1,0.05,0.21,0.65
CA-LU1,P,1,-9999,-9999,-9999
CA-LU1,SW_IN,1,5.28,25.23,0.9
CA-LU1,LW_IN,-9999,-9999,-9999,-9999
CA-LU1,LW_IN_JSB,1,0.01,9.91,0.9
CA-LU2,TA,1,0,0.77,0.99
CA-LU2,PA,1,0,0.02,0.99
CA-LU2,VPD,1,-0,0.54,0.93
CA-LU2,WS,1,0.03,0.2,0.62
CA-LU2,P,1,-9999,-9999,-9999
CA-LU2,SW_IN,1,3.8,26.01,0.91
CA-LU2,LW_IN,-9999,-9999,-9999,-9999
CA-LU2,LW_IN_JSB,1,0,10.48,0.9
CA-MA1,TA,1,0,1.1,0.95
CA-MA1,PA,1,0,0.23,0.06
CA-MA1,VPD,1,0,0.56,0.89
CA-MA1,WS,1,-0.01,0.25,0.77
CA-MA1,P,1,-9999,-9999,-9999
CA-MA1,SW_IN,1,8.13,28.34,0.9
CA-MA1,LW_IN,-9999,-9999,-9999,-9999
CA-MA1,LW_IN_JSB,1,0,10.45,0.88
CA-MA2,TA,1,0,0.53,0.99
CA-MA2,PA,1,0,0.23,0.06
CA-MA2,VPD,1,0,0.56,0.9
CA-MA2,WS,1,-0.03,0.25,0.81
CA-MA2,P,1,-9999,-9999,-9999
CA-MA2,SW_IN,1,6.32,22.94,0.91
CA-MA2,LW_IN,1,0,8.76,0.84
CA-MA2,LW_IN_JSB,1,0,7.72,0.92
CA-MA3,TA,1,0,0.63,0.98
CA-MA3,PA,1,0,0.23,0.06
CA-MA3,VPD,1,0,0.59,0.89
CA-MA3,WS,1,-0.03,0.22,0.82
CA-MA3,P,1,-9999,-9999,-9999
CA-MA3,SW_IN,1,7.53,23.89,0.91
CA-MA3,LW_IN,1,0.01,7.56,0.83
CA-MA3,LW_IN_JSB,1,0,7.91,0.92
CA-Man,TA,1,-0,1.14,0.99
CA-Man,PA,1,0,0.52,0
CA-Man,VPD,1,-0.01,0.87,0.93
CA-Man,WS,1,0.11,0.55,0.73
CA-Man,P,1,-9999,-9999,-9999
CA-Man,SW_IN,1,5.42,58.29,0.88
CA-Man,LW_IN,-9999,-9999,-9999,-9999
CA-Man,LW_IN_JSB,1,-0,16.27,0.92
CA-Mer,TA,1,0,1.82,0.98
CA-Mer,PA,1,-0,0.22,0.94
CA-Mer,VPD,1,-0,1.7,0.89
CA-Mer,WS,1,-0.07,0.79,0.74
CA-Mer,P,1,-9999,-9999,-9999
CA-Mer,SW_IN,1,7.2,75.41,0.9
CA-Mer,LW_IN,1,-0,15.27,0.93
CA-Mer,LW_IN_JSB,1,0,23.86,0.92
CA-Mtk,TA,1,-0,0.14,0.98
CA-Mtk,PA,1,0,0.01,0.99
CA-Mtk,VPD,1,-0,0.08,0.76
CA-Mtk,WS,1,0.51,0.15,0.31
CA-Mtk,P,1,-9999,-9999,-9999
CA-Mtk,SW_IN,1,-0.62,3.7,0.91
CA-Mtk,LW_IN,1,-0,1.91,0.87
CA-Mtk,LW_IN_JSB,1,-0.06,2.83,0.84
CA-Na1,TA,1,0,0.58,0.98
CA-Na1,PA,1,0,0.11,0.82
CA-Na1,VPD,1,0,0.36,0.92
CA-Na1,WS,1,0.03,0.21,0.79
CA-Na1,P,1,-9999,-9999,-9999
CA-Na1,SW_IN,1,4.57,20.35,0.91
CA-Na1,LW_IN,1,0.01,5.07,0.93
CA-Na1,LW_IN_JSB,1,0,8.13,0.89
CA-Ojp,TA,1,0,1.02,0.99
CA-Ojp,PA,1,-0,0.14,0.94
CA-Ojp,VPD,1,0,0.91,0.94
CA-Ojp,WS,1,0.08,0.44,0.78
CA-Ojp,P,1,-9999,-9999,-9999
CA-Ojp,SW_IN,1,5.59,46.44,0.9
CA-Ojp,LW_IN,1,-0,11.47,0.93
CA-Ojp,LW_IN_JSB,1,-0,17.14,0.91
CA-PB1,TA,1,0,0.87,0.99
CA-PB1,PA,1,0,0.14,0.93
CA-PB1,VPD,1,0,0.55,0.89
CA-PB1,WS,1,-0.03,0.56,0.85
CA-PB1,P,1,-9999,-9999,-9999
CA-PB1,SW_IN,1,6.34,32.69,0.92
CA-PB1,LW_IN,1,0,7.71,0.94
CA-PB1,LW_IN_JSB,1,0.03,12.86,0.92
CA-PB2,TA,1,0,0.78,0.99
CA-PB2,PA,1,0,0.04,1
CA-PB2,VPD,1,0,0.47,0.9
CA-PB2,WS,1,-0,0.49,0.85
CA-PB2,P,1,-9999,-9999,-9999
CA-PB2,SW_IN,1,6.78,35.26,0.91
CA-PB2,LW_IN,1,0,9.03,0.94
CA-PB2,LW_IN_JSB,1,0,12.2,0.92
CA-Qc2,TA,1,-0,0.55,0.99
CA-Qc2,PA,1,-0,0.04,0.98
CA-Qc2,VPD,1,-0,0.51,0.9
CA-Qc2,WS,1,0.05,0.26,0.81
CA-Qc2,P,1,-9999,-9999,-9999
CA-Qc2,SW_IN,1,7.95,27.45,0.89
CA-Qc2,LW_IN,-9999,-9999,-9999,-9999
CA-Qc2,LW_IN_JSB,1,-0.02,8.74,0.91
CA-Qfo,TA,1,0,0.91,0.99
CA-Qfo,PA,1,0,0.13,0.93
CA-Qfo,VPD,1,0,0.74,0.92
CA-Qfo,WS,1,0.04,0.34,0.76
CA-Qfo,P,1,-9999,-9999,-9999
CA-Qfo,SW_IN,1,6.14,39.93,0.89
CA-Qfo,LW_IN,1,0.01,10.71,0.92
CA-Qfo,LW_IN_JSB,1,-0.02,14.05,0.91
CA-RBM,TA,1,-0,0.4,0.96
CA-RBM,PA,1,-0,0.02,1
CA-RBM,VPD,1,-0,0.43,0.78
CA-RBM,WS,1,0.26,0.33,0.51
CA-RBM,P,1,-9999,-9999,-9999
CA-RBM,SW_IN,1,5.75,24.94,0.92
CA-RBM,LW_IN,1,-0,4.96,0.83
CA-RBM,LW_IN_JSB,1,0,6.54,0.77
CA-SCB,TA,1,0,0.77,0.98
CA-SCB,PA,1,0,0.05,0.98
CA-SCB,VPD,1,0,0.67,0.94
CA-SCB,WS,1,0.03,0.24,0.57
CA-SCB,P,1,-9999,-9999,-9999
CA-SCB,SW_IN,1,5.48,26.8,0.92
CA-SCB,LW_IN,1,-0.02,6.65,0.92
CA-SCB,LW_IN_JSB,1,-0.17,8.95,0.91
CA-SCC,TA,1,0,0.84,0.99
CA-SCC,PA,1,-0,0.22,0.83
CA-SCC,VPD,1,0,0.87,0.94
CA-SCC,WS,1,0.1,0.63,0.62
CA-SCC,P,1,-9999,-9999,-9999
CA-SCC,SW_IN,1,3.15,33.33,0.92
CA-SCC,LW_IN,1,-0.01,8.41,0.93
CA-SCC,LW_IN_JSB,1,0,13.39,0.92
CA-SF1,TA,1,0,0.87,0.97
CA-SF1,PA,1,0,0.15,0.73
CA-SF1,VPD,1,0,0.61,0.88
CA-SF1,WS,1,0.06,0.22,0.72
CA-SF1,P,1,-9999,-9999,-9999
CA-SF1,SW_IN,1,5.88,24.83,0.9
CA-SF1,LW_IN,1,0,7.29,0.88
CA-SF1,LW_IN_JSB,1,-0,9.47,0.89
CA-SF2,TA,1,0,1.14,0.96
CA-SF2,PA,1,0,0.21,0.61
CA-SF2,VPD,1,0,0.82,0.87
CA-SF2,WS,1,0.02,0.26,0.66
CA-SF2,P,1,-9999,-9999,-9999
CA-SF2,SW_IN,1,6.73,29.5,0.9
CA-SF2,LW_IN,1,-0,7.83,0.87
CA-SF2,LW_IN_JSB,1,0,10.35,0.9
CA-SF3,TA,1,-0,0.96,0.97
CA-SF3,PA,1,-0,0.12,0.87
CA-SF3,VPD,1,-0,0.67,0.92
CA-SF3,WS,1,0.05,0.29,0.71
CA-SF3,P,1,-9999,-9999,-9999
CA-SF3,SW_IN,1,4.97,31.17,0.89
CA-SF3,LW_IN,1,0,8.83,0.87
CA-SF3,LW_IN_JSB,1,0.01,11.39,0.89
CA-SJ2,TA,1,-0,0.91,0.98
CA-SJ2,PA,1,0,0.11,0.86
CA-SJ2,VPD,1,0,0.64,0.94
CA-SJ2,WS,1,-0.06,0.43,0.74
CA-SJ2,P,1,-9999,-9999,-9999
CA-SJ2,SW_IN,1,6.22,32.86,0.9
CA-SJ2,LW_IN,1,0,8.66,0.92
CA-SJ2,LW_IN_JSB,1,0,11.65,0.91
CA-SMC,TA,1,-0,0.27,0.99
CA-SMC,PA,1,-0,0.08,0.76
CA-SMC,VPD,1,-0,0.22,0.94
CA-SMC,WS,1,0.02,0.11,0.68
CA-SMC,P,-9999,-9999,-9999,-9999
CA-SMC,SW_IN,1,1,9.03,0.94
CA-SMC,LW_IN,1,0.01,2.42,0.92
CA-SMC,LW_IN_JSB,1,0.02,3.38,0.87
CA-TP1,TA,1,-0,1.63,0.97
CA-TP1,PA,1,0,0.31,0.79
CA-TP1,VPD,1,0,1.71,0.82
CA-TP1,WS,1,-0.01,0.65,0.7
CA-TP1,P,1,-9999,-9999,-9999
CA-TP1,SW_IN,1,3.04,77.82,0.91
CA-TP1,LW_IN,-9999,-9999,-9999,-9999
CA-TP1,LW_IN_JSB,1,0,21.52,0.91
CA-TP2,TA,1,0,0.87,0.97
CA-TP2,PA,1,0,0.04,0.97
CA-TP2,VPD,1,0,0.89,0.82
CA-TP2,WS,1,-0.03,0.26,0.69
CA-TP2,P,1,-9999,-9999,-9999
CA-TP2,SW_IN,1,3.5,39.19,0.9
CA-TP2,LW_IN,-9999,-9999,-9999,-9999
CA-TP2,LW_IN_JSB,1,0,11.53,0.91
CA-TP3,TA,1,0,1.44,0.98
CA-TP3,PA,1,0,0.21,0.91
CA-TP3,VPD,1,0,1.64,0.83
CA-TP3,WS,1,0.06,0.56,0.73
CA-TP3,P,1,-9999,-9999,-9999
CA-TP3,SW_IN,1,3.84,82.5,0.9
CA-TP3,LW_IN,-9999,-9999,-9999,-9999
CA-TP3,LW_IN_JSB,1,-0,22.41,0.9
CA-TP4,TA,1,0,1.37,0.98
CA-TP4,PA,1,-0,0.38,0.76
CA-TP4,VPD,1,0,1.66,0.84
CA-TP4,WS,1,0.12,0.56,0.77
CA-TP4,P,1,-9999,-9999,-9999
CA-TP4,SW_IN,1,5.36,79.2,0.9
CA-TP4,LW_IN,1,0,15.13,0.92
CA-TP4,LW_IN_JSB,1,-0.01,22.18,0.91
CA-TPA,TA,1,-0,0.53,0.98
CA-TPA,PA,1,-0,0.03,0.99
CA-TPA,VPD,1,0,0.63,0.79
CA-TPA,WS,1,0.01,0.33,0.68
CA-TPA,P,1,-9999,-9999,-9999
CA-TPA,SW_IN,1,6.4,35.01,0.87
CA-TPA,LW_IN,1,0,6.6,0.9
CA-TPA,LW_IN_JSB,1,0,8.93,0.89
CA-TPD,TA,1,-0,0.92,0.98
CA-TPD,PA,1,-0,0.23,0.84
CA-TPD,VPD,1,-0,1.1,0.86
CA-TPD,WS,1,0.13,0.49,0.79
CA-TPD,P,1,-9999,-9999,-9999
CA-TPD,SW_IN,1,4.9,56.8,0.9
CA-TPD,LW_IN,1,-0.01,16.71,0.83
CA-TPD,LW_IN_JSB,1,-0,16.06,0.91
CA-TVC,TA,1,0,0.31,0.99
CA-TVC,PA,1,0,0.01,1
CA-TVC,VPD,1,-0,0.17,0.92
CA-TVC,WS,1,-0.01,0.28,0.66
CA-TVC,P,1,-9999,-9999,-9999
CA-TVC,SW_IN,1,4.47,9.13,0.94
CA-TVC,LW_IN,1,0,3.03,0.92
CA-TVC,LW_IN_JSB,1,0,5.64,0.9
CD-Ygb,TA,1,-0,0.55,0.79
CD-Ygb,PA,1,0,0.03,0.91
CD-Ygb,VPD,1,-0.24,276.34,0.27
CD-Ygb,WS,1,0.29,0.3,0.21
CD-Ygb,P,1,-9999,-9999,-9999
CD-Ygb,SW_IN,1,9.88,45.7,0.85
CD-Ygb,LW_IN,1,0.01,3.58,0.54
CD-Ygb,LW_IN_JSB,1,-0.18,45.91,0
CG-Tch,TA,1,0,0.35,0.88
CG-Tch,PA,-9999,-9999,-9999,-9999
CG-Tch,VPD,1,0,0.66,0.79
CG-Tch,WS,1,0.04,0.29,0.54
CG-Tch,P,1,-9999,-9999,-9999
CG-Tch,SW_IN,1,11.83,35.38,0.82
CG-Tch,LW_IN,-9999,-9999,-9999,-9999
CG-Tch,LW_IN_JSB,1,0,8.33,0.42
CH-Aws,TA,1,-0,1.71,0.91
CH-Aws,PA,1,-0,0.24,0.84
CH-Aws,VPD,1,0,1.33,0.74
CH-Aws,WS,1,0.33,0.78,-0
CH-Aws,P,1,-9999,-9999,-9999
CH-Aws,SW_IN,1,1.62,74.32,0.86
CH-Aws,LW_IN,1,-0,12.82,0.82
CH-Aws,LW_IN_JSB,1,-0.02,16.23,0.8
CH-Cha,TA,1,0,1.5,0.96
CH-Cha,PA,1,0.38,111.92,0.01
CH-Cha,VPD,1,0,1.58,0.86
CH-Cha,WS,1,0.04,0.51,0.55
CH-Cha,P,1,-9999,-9999,-9999
CH-Cha,SW_IN,1,1.98,67.07,0.9
CH-Cha,LW_IN,1,-0,15.79,0.83
CH-Cha,LW_IN_JSB,1,-0,17.5,0.85
CH-Crs,TA,1,0,0.72,0.92
CH-Crs,PA,1,0,0.11,0.76
CH-Crs,VPD,1,0,0.63,0.9
CH-Crs,WS,1,-0.03,0.21,0.75
CH-Crs,P,1,-9999,-9999,-9999
CH-Crs,SW_IN,1,3.24,23.53,0.88
CH-Crs,LW_IN,-9999,-9999,-9999,-9999
CH-Crs,LW_IN_JSB,1,-0.02,6.62,0.82
CH-Dav,TA,1,-0,2,0.94
CH-Dav,PA,1,0,0.14,0.97
CH-Dav,VPD,1,-0,1.45,0.86
CH-Dav,WS,1,0.2,1.33,0.3
CH-Dav,P,1,-9999,-9999,-9999
CH-Dav,SW_IN,1,0.58,85.82,0.9
CH-Dav,LW_IN,1,-0,18.38,0.81
CH-Dav,LW_IN_JSB,1,-0,23.16,0.82
CH-For,TA,1,0,0.34,0.93
CH-For,PA,1,-0,0.01,0.99
CH-For,VPD,1,0,0.31,0.8
CH-For,WS,1,-0.01,0.14,0.62
CH-For,P,1,-9999,-9999,-9999
CH-For,SW_IN,1,10.2,16.92,0.87
CH-For,LW_IN,1,0,2.77,0.8
CH-For,LW_IN_JSB,1,0,3.9,0.81
CH-Frk,TA,1,-0,0.65,0.89
CH-Frk,PA,1,0,0.07,0.79
CH-Frk,VPD,1,-0,0.36,0.51
CH-Frk,WS,1,0.51,0.35,0.11
CH-Frk,P,1,-9999,-9999,-9999
CH-Frk,SW_IN,1,9.03,26.96,0.87
CH-Frk,LW_IN,-9999,-9999,-9999,-9999
CH-Frk,LW_IN_JSB,1,-0,5.81,0.81
CH-Fru,TA,1,0,1.74,0.94
CH-Fru,PA,-9999,-9999,-9999,-9999
CH-Fru,VPD,1,0,1.5,0.76
CH-Fru,WS,1,0.11,0.72,0.45
CH-Fru,P,1,-9999,-9999,-9999
CH-Fru,SW_IN,1,2.47,70.89,0.89
CH-Fru,LW_IN,1,0,17.45,0.81
CH-Fru,LW_IN_JSB,1,0.04,19.05,0.83
CH-Lae,TA,1,-0,1.65,0.95
CH-Lae,PA,1,-0,0.18,0.93
CH-Lae,VPD,1,-0,1.37,0.9
CH-Lae,WS,1,0.27,1.08,0.56
CH-Lae,P,1,-9999,-9999,-9999
CH-Lae,SW_IN,1,2.16,72.82,0.89
CH-Lae,LW_IN,1,-0.01,17.06,0.82
CH-Lae,LW_IN_JSB,1,-0,21.01,0.82
CH-Oe1,TA,1,0,0.83,0.98
CH-Oe1,PA,1,0,0.05,0.99
CH-Oe1,VPD,1,-0,0.97,0.91
CH-Oe1,WS,1,0.14,0.56,0.69
CH-Oe1,P,1,-9999,-9999,-9999
CH-Oe1,SW_IN,1,2.67,48.23,0.89
CH-Oe1,LW_IN,1,-0,11.95,0.79
CH-Oe1,LW_IN_JSB,1,0,13.85,0.85
CH-Oe2,TA,1,-0,1.29,0.97
CH-Oe2,PA,1,0,0.03,1
CH-Oe2,VPD,1,-0,1.27,0.91
CH-Oe2,WS,1,0.06,0.74,0.68
CH-Oe2,P,1,-9999,-9999,-9999
CH-Oe2,SW_IN,1,4.7,73.77,0.88
CH-Oe2,LW_IN,1,-0,17.55,0.82
CH-Oe2,LW_IN_JSB,1,-0,17.79,0.84
CH-Oe3,TA,1,0,0.82,0.98
CH-Oe3,PA,1,-0,0.05,0.99
CH-Oe3,VPD,1,-0,0.97,0.91
CH-Oe3,WS,1,0.13,0.56,0.68
CH-Oe3,P,1,-9999,-9999,-9999
CH-Oe3,SW_IN,1,2.76,48.02,0.89
CH-Oe3,LW_IN,1,-0,11.94,0.79
CH-Oe3,LW_IN_JSB,1,-0,13.82,0.85
CH-Rh1,TA,1,0,0.77,0.95
CH-Rh1,PA,1,-0,0.05,0.98
CH-Rh1,VPD,1,0,0.78,0.85
CH-Rh1,WS,1,0.02,0.4,0.47
CH-Rh1,P,1,-9999,-9999,-9999
CH-Rh1,SW_IN,1,4.81,32.37,0.88
CH-Rh1,LW_IN,-9999,-9999,-9999,-9999
CH-Rh1,LW_IN_JSB,1,0,9.31,0.83
CH-Rh2,TA,1,0,0.77,0.95
CH-Rh2,PA,1,-0,0.05,0.98
CH-Rh2,VPD,1,0,0.78,0.85
CH-Rh2,WS,1,0.02,0.38,0.46
CH-Rh2,P,1,-9999,-9999,-9999
CH-Rh2,SW_IN,1,4.81,32.37,0.88
