rank_by_abs_delta,target_class,delta_frac,direction,site_id,era5_twoletter,era5_class,beck_twoletter,beck_class
2,Df,0.030729833546734975,moved_in_under_beck,US-BZF,BS,BSk,Df,Dfb
2,Df,0.030729833546734975,moved_in_under_beck,US-BZo,BS,BSk,Df,Dfb
2,Df,0.030729833546734975,moved_in_under_beck,US-ICh,ET,ET,Df,Dfc
2,Df,0.030729833546734975,moved_in_under_beck,US-NR3,ET,ET,Df,Dfc
2,Df,0.030729833546734975,moved_in_under_beck,US-SD2,BS,BSk,Df,Dfa
2,Df,0.030729833546734975,moved_in_under_beck,US-Sag,BW,BWk,Df,Dfc
2,Df,0.030729833546734975,moved_in_under_beck,US-ZF2,BS,BSk,Df,Dfa
2,Df,0.030729833546734975,moved_in_under_beck,US-xDJ,BS,BSk,Df,Dfc
2,Df,0.030729833546734975,moved_in_under_beck,US-xNG,BS,BSk,Df,Dfb
2,Df,0.030729833546734975,moved_in_under_beck,US-xNW,ET,ET,Df,Dfc
2,Df,0.030729833546734975,moved_in_under_beck,CZ-Lnz,Cf,Cfb,Df,Dfb
2,Df,0.030729833546734975,moved_in_under_beck,DE-Hai,Cf,Cfb,Df,Dfb
2,Df,0.030729833546734975,moved_in_under_beck,DE-Hzd,Cf,Cfb,Df,Dfb
2,Df,0.030729833546734975,moved_in_under_beck,DE-Tha,Cf,Cfb,Df,Dfb
2,Df,0.030729833546734975,moved_in_under_beck,US-KLS,BS,BSk,Df,Dfa
2,Df,0.030729833546734975,moved_in_under_beck,US-ZF1,BS,BSk,Df,Dfa
2,Df,0.030729833546734975,moved_out_under_beck,CA-CF1,Df,Dfc,Ds,Dsc
2,Df,0.030729833546734975,moved_out_under_beck,CA-CF3,Df,Dfc,Ds,Dsc
2,Df,0.030729833546734975,moved_out_under_beck,CN-Mxn,Df,Dfb,Dw,Dwb
2,Df,0.030729833546734975,moved_out_under_beck,CN-Qng,Df,Dfb,Dw,Dwb
2,Df,0.030729833546734975,moved_out_under_beck,JP-Fjy,Df,Dfb,Cf,Cfa
2,Df,0.030729833546734975,moved_out_under_beck,KR-GmP,Df,Dfa,Cf,Cfa
2,Df,0.030729833546734975,moved_out_under_beck,KR-GmR,Df,Dfa,Cf,Cfa
2,Df,0.030729833546734975,moved_out_under_beck,KR-GmS,Df,Dfa,Cf,Cfa
2,Df,0.030729833546734975,moved_out_under_beck,KR-PcD,Df,Dfb,Dw,Dwb
2,Df,0.030729833546734975,moved_out_under_beck,KR-UAO,Df,Dfa,Dw,Dwa
2,Df,0.030729833546734975,moved_out_under_beck,RU-Ch2,Df,Dfc,Ds,Dsc
2,Df,0.030729833546734975,moved_out_under_beck,RU-Che,Df,Dfc,Ds,Dsc
2,Df,0.030729833546734975,moved_out_under_beck,US-KPL,Df,Dfc,Ds,Dsc
2,Df,0.030729833546734975,moved_out_under_beck,US-xDC,Df,Dfb,Dw,Dwb
2,Df,0.030729833546734975,moved_out_under_beck,US-xWD,Df,Dfb,Dw,Dwb
3,BS,-0.02176696542893726,moved_in_under_beck,AU-Cpr,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,AU-Lon,BW,BWh,BS,BSh
3,BS,-0.02176696542893726,moved_in_under_beck,AU-Lox,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,BW-Gum,Cw,Cwa,BS,BSh
3,BS,-0.02176696542893726,moved_in_under_beck,BW-Nxr,Cw,Cwa,BS,BSh
3,BS,-0.02176696542893726,moved_in_under_beck,CN-Dda,Dw,Dwb,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,CN-Huz,Dw,Dwb,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,CN-Xi2,Dw,Dwb,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,ES-HeB,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,ES-Hen,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,ES-TzM,Cs,Csa,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,MN-Hst,Dw,Dwb,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,MN-Kbu,Dw,Dwb,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,MX-Aog,Aw,Aw,BS,BSh
3,BS,-0.02176696542893726,moved_in_under_beck,US-CMW,BW,BWk,BS,BSh
3,BS,-0.02176696542893726,moved_in_under_beck,US-CdM,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-Cop,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-Jo1,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-NSa,Cs,Csa,BS,BSh
3,BS,-0.02176696542893726,moved_in_under_beck,US-NSb,Cs,Csa,BS,BSh
3,BS,-0.02176696542893726,moved_in_under_beck,US-PSL,Cs,Csa,BS,BSh
3,BS,-0.02176696542893726,moved_in_under_beck,US-RC3,Ds,Dsa,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-SRC,BW,BWh,BS,BSh
3,BS,-0.02176696542893726,moved_in_under_beck,US-Seg,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-Ses,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-UTD,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-UTE,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-UTL,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-UTV,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-UTW,Ds,Dsa,BS,BSk
