date,dd_value,hh_summed_day,n_hh,ratio_dd_to_hh
1981-01-02,0.597,0.02800000000000001,48,21.321428571428562
1981-01-03,1.161,0.054,48,21.5
1981-01-04,52.708,2.4839999999999995,48,21.219001610305963
1981-01-05,6.577,0.30200000000000005,48,21.778145695364234
1981-01-06,18.73,0.8820000000000002,48,21.23582766439909
1981-01-07,1.598,0.074,48,21.594594594594597
1981-01-08,0.58,0.024,48,24.166666666666664
1981-01-11,0.673,0.02800000000000001,48,24.035714285714278
1981-01-12,2.767,0.12800000000000003,48,21.617187499999993
1981-01-13,26.173,1.2299999999999984,48,21.278861788617913
1981-01-15,3.709,0.17400000000000004,48,21.316091954022983
1981-01-16,0.404,0.018000000000000006,48,22.44444444444444
1981-01-17,1.085,0.05,48,21.7
1981-01-19,0.269,0.010000000000000002,48,26.899999999999995
1981-01-20,11.224,0.526,48,21.338403041825096
1981-02-04,13.583,0.64,48,21.2234375
1981-02-05,0.311,0.014,48,22.214285714285715
1981-02-06,0.387,0.014000000000000005,48,27.64285714285713
1981-02-10,60.302,2.84,48,21.233098591549297
1981-02-11,8.032,0.37800000000000017,48,21.24867724867724
1981-02-12,115.869,5.451999999999998,48,21.252567865003677
1981-02-13,7.906,0.3700000000000001,48,21.367567567567562
1981-02-15,0.198,0.010000000000000002,48,19.799999999999997
1981-02-17,4.348,0.204,48,21.31372549019608
1981-02-18,18.848,0.8880000000000007,48,21.22522522522521
1981-02-19,45.441,2.1400000000000015,48,21.2341121495327
1981-02-20,7.199,0.3400000000000002,48,21.173529411764694
1981-02-21,18.898,0.8919999999999999,48,21.186098654708523
1981-02-22,14.525,0.6800000000000002,48,21.360294117647054
1981-02-23,2.725,0.128,48,21.2890625
1981-02-24,9.882,0.46400000000000013,48,21.29741379310344
1981-02-25,9.966,0.4660000000000002,48,21.38626609442059
1981-02-26,18.351,0.8660000000000003,48,21.19053117782909
1981-02-27,9.798,0.46400000000000013,48,21.116379310344822
1981-02-28,5.862,0.2780000000000002,48,21.086330935251784
1981-03-01,1.657,0.07400000000000004,48,22.39189189189188
1981-03-02,1.055,0.05000000000000002,48,21.09999999999999
1981-03-03,155.987,7.342000000000002,48,21.245845818578037
1981-03-04,30.176,1.4219999999999997,48,21.220815752461327
1981-03-05,0.917,0.04400000000000001,48,20.840909090909086
1981-03-06,11.421,0.5380000000000003,48,21.228624535315973
1981-03-07,3.398,0.15600000000000003,48,21.782051282051277
1981-03-12,72.203,3.4000000000000012,48,21.23617647058823
1981-03-13,39.554,1.864,48,21.219957081545065
1981-03-14,48.662,2.2899999999999996,48,21.24978165938865
1981-03-15,115.928,5.462,48,21.224459904796777
1981-03-16,248.492,11.701999999999991,48,21.235002563664345
1981-03-17,288.643,13.588000000000003,48,21.242493376508676
1981-03-18,143.363,6.7479999999999976,48,21.245257854179023
1981-03-22,3.12,0.14400000000000002,48,21.666666666666664
1981-03-23,5.568,0.262,48,21.25190839694656
1981-03-24,17.473,0.8240000000000001,48,21.205097087378636
1981-03-26,11.383,0.5380000000000003,48,21.15799256505575
1981-03-27,2.195,0.10400000000000001,48,21.105769230769226
1981-03-28,7.426,0.3480000000000001,48,21.33908045977011
1981-03-29,140.638,6.621999999999999,48,21.237994563575963
1981-03-30,627.442,29.536,48,21.243296316359697
1981-03-31,295.456,13.908000000000003,48,21.243600805291916
1981-04-01,136.155,6.407999999999995,48,21.24765917602998
1981-04-03,26.442,1.2439999999999998,48,21.255627009646307
1981-04-04,2.346,0.11200000000000002,48,20.94642857142857
1981-04-05,37.434,1.7620000000000002,48,21.245175936435864
1981-04-06,27.573,1.2960000000000003,48,21.27546296296296
1981-04-07,4.432,0.206,48,21.51456310679612
1981-04-08,21.901,1.0319999999999998,48,21.221899224806204
1981-04-09,16.863,0.796,48,21.18467336683417
1981-04-10,62.195,2.9260000000000006,48,21.255980861244016
1981-04-11,32.01,1.5080000000000002,48,21.226790450928377
1981-04-12,11.539,0.5460000000000002,48,21.133699633699628
1981-04-14,2.279,0.10600000000000001,48,21.499999999999996
1981-04-15,11.766,0.552,48,21.315217391304348
1981-04-16,13.919,0.6600000000000001,48,21.089393939393936
1981-04-17,90.243,4.242000000000003,48,21.27369165487976
1981-04-18,94.448,4.443999999999999,48,21.252925292529255
1981-04-19,25.298,1.1939999999999995,48,21.18760469011726
1981-04-20,243.589,11.468,48,21.24075688873387
1981-04-21,15.071,0.7120000000000002,48,21.167134831460668
1981-04-23,27.821,1.3099999999999996,48,21.237404580152678
1981-04-24,177.786,8.368,48,21.24593690248566
1981-04-25,96.265,4.532000000000002,48,21.241173874669013
1981-04-26,333.378,15.693999999999997,48,21.242385625079653
1981-04-27,290.401,13.668000000000001,48,21.246780801872987
1981-04-28,2.574,0.12000000000000001,48,21.449999999999996
1981-04-29,33.053,1.556,48,21.242287917737787
1981-05-01,18.705,0.8800000000000003,48,21.25568181818181
1981-05-02,259.106,12.198000000000004,48,21.241678963764546
1981-05-03,303.319,14.277999999999997,48,21.243801652892568
1981-05-04,277.878,13.082,48,21.241247515670384
