site_id,date,dd_value,hh_summed_day,ratio_dd_to_hh
FI-Hyy,1981-01-01,3.257,3.247999999999999,1.0027709359605914
FI-Hyy,1981-01-02,0.652,0.6520000000000001,0.9999999999999998
FI-Hyy,1981-01-03,1.679,1.6739999999999997,1.0029868578255676
FI-Hyy,1981-01-04,3.052,3.0440000000000005,1.002628120893561
FI-Hyy,1981-01-05,0.215,0.21000000000000008,1.0238095238095235
FI-Hyy,1981-01-06,0.068,0.06800000000000003,0.9999999999999996
FI-Hyy,1981-01-07,0.839,0.8340000000000001,1.0059952038369304
FI-Hyy,1981-01-08,1.606,1.5999999999999996,1.0037500000000004
FI-Hyy,1981-01-09,2.133,2.1220000000000003,1.0051837888784165
FI-Hyy,1981-01-10,0.355,0.348,1.0201149425287357
FI-Hyy,1981-01-12,2.751,2.738,1.0047479912344777
FI-Hyy,1981-01-13,3.657,3.638000000000001,1.0052226498075865
FI-Hyy,1981-01-14,1.36,1.352,1.0059171597633136
FI-Hyy,1981-01-15,7.478,7.442,1.0048374092985757
FI-Hyy,1981-01-16,1.398,1.393999999999999,1.0028694404591112
FI-Hyy,1981-01-17,0.683,0.6800000000000003,1.0044117647058821
FI-Hyy,1981-01-18,0.146,0.14600000000000007,0.9999999999999994
FI-Hyy,1981-01-19,3.317,3.3080000000000003,1.002720677146312
FI-Hyy,1981-01-20,1.733,1.7279999999999993,1.002893518518519
FI-Hyy,1981-01-21,2.134,2.1300000000000003,1.0018779342723003
FI-Hyy,1981-01-22,3.055,3.0459999999999994,1.0029546946815497
FI-Hyy,1981-01-23,0.205,0.20200000000000004,1.0148514851485146
FI-Hyy,1981-01-24,1.389,1.384,1.0036127167630058
FI-Hyy,1981-01-25,3.31,3.299999999999999,1.0030303030303034
FI-Hyy,1981-01-27,0.338,0.33599999999999997,1.0059523809523812
FI-Hyy,1981-01-30,1.789,1.779999999999999,1.0050561797752815
FI-Hyy,1981-01-31,2.542,2.5340000000000007,1.0031570639305443
FI-Hyy,1981-02-01,0.394,0.39,1.0102564102564102
FI-Hyy,1981-02-02,1.549,1.544,1.003238341968912
FI-Hyy,1981-02-03,7.313,7.285999999999994,1.0037057370299212
FI-Hyy,1981-02-04,2.329,2.3219999999999996,1.0030146425495265
FI-Hyy,1981-02-05,0.811,0.8100000000000004,1.0012345679012342
FI-Hyy,1981-02-06,0.346,0.338,1.0236686390532543
FI-Hyy,1981-02-07,7.452,7.422,1.0040420371867422
FI-Hyy,1981-02-08,0.299,0.29600000000000004,1.0101351351351349
FI-Hyy,1981-02-09,0.114,0.114,1
FI-Hyy,1981-02-11,0.101,0.09800000000000006,1.0306122448979587
FI-Hyy,1981-02-12,0.235,0.23400000000000012,1.0042735042735036
FI-Hyy,1981-02-13,0.19,0.19000000000000009,0.9999999999999996
FI-Hyy,1981-02-14,0.831,0.8280000000000001,1.003623188405797
FI-Hyy,1981-02-15,0.144,0.14600000000000005,0.9863013698630133
FI-Hyy,1981-02-16,0.181,0.18000000000000002,1.0055555555555553
FI-Hyy,1981-02-17,0.751,0.7480000000000002,1.0040106951871655
FI-Hyy,1981-02-18,0.159,0.15600000000000003,1.0192307692307692
FI-Hyy,1981-02-19,0.048,0.04600000000000003,1.0434782608695645
FI-Hyy,1981-02-20,0.271,0.27400000000000013,0.9890510948905106
FI-Hyy,1981-02-21,1.352,1.3499999999999994,1.001481481481482
FI-Hyy,1981-02-22,0.348,0.3460000000000001,1.0057803468208089
FI-Hyy,1981-02-23,0.069,0.06600000000000002,1.0454545454545452
FI-Hyy,1981-02-24,0.139,0.13600000000000004,1.0220588235294115
FI-Hyy,1981-02-25,1.293,1.284,1.0070093457943925
FI-Hyy,1981-02-26,1.753,1.7399999999999995,1.0074712643678163
FI-Hyy,1981-03-03,0.015,0.013999999999999999,1.0714285714285714
FI-Hyy,1981-03-04,0.043,0.04200000000000002,1.023809523809523
FI-Hyy,1981-03-05,0.075,0.07200000000000001,1.0416666666666665
FI-Hyy,1981-03-07,0.065,0.062,1.0483870967741935
FI-Hyy,1981-03-08,1.929,1.922,1.0036420395421437
FI-Hyy,1981-03-09,10.866,10.824000000000002,1.0038802660753878
FI-Hyy,1981-03-10,2.705,2.6940000000000004,1.0040831477357088
FI-Hyy,1981-03-11,0.421,0.4180000000000001,1.0071770334928227
FI-Hyy,1981-03-12,0.077,0.076,1.013157894736842
FI-Hyy,1981-03-13,8.332,8.298,1.0040973728609304
FI-Hyy,1981-03-14,7.499,7.471999999999997,1.0036134903640261
FI-Hyy,1981-03-15,0.036,0.034000000000000016,1.058823529411764
FI-Hyy,1981-03-17,0.386,0.3840000000000001,1.005208333333333
FI-Hyy,1981-03-19,4.202,4.182,1.004782400765184
FI-Hyy,1981-03-20,4.283,4.259999999999999,1.0053990610328642
FI-Hyy,1981-03-21,0.061,0.060000000000000026,1.0166666666666662
FI-Hyy,1981-03-22,6.445,6.418000000000003,1.0042069180430035
FI-Hyy,1981-03-23,1.242,1.2359999999999998,1.004854368932039
FI-Hyy,1981-03-24,4.259,4.242,1.0040075436115041
FI-Hyy,1981-03-25,5.675,5.648,1.0047804532577904
FI-Hyy,1981-03-26,0.107,0.1,1.0699999999999998
FI-Hyy,1981-03-27,0.067,0.068,0.9852941176470588
FI-Hyy,1981-04-03,0.077,0.078,0.9871794871794871
FI-Hyy,1981-04-09,2.174,2.166,1.0036934441366574
FI-Hyy,1981-04-10,0.545,0.54,1.0092592592592593
FI-Hyy,1981-04-13,4.502,4.483999999999998,1.0040142729705623
FI-Hyy,1981-04-14,1.728,1.7199999999999993,1.004651162790698
FI-Hyy,1981-04-15,0.477,0.47400000000000014,1.0063291139240502
FI-Hyy,1981-04-16,0.767,0.7660000000000005,1.00130548302872
FI-Hyy,1981-04-18,0.727,0.7180000000000005,1.0125348189415033
FI-Hyy,1981-04-19,0.034,0.032,1.0625
FI-Hyy,1981-04-21,0.48,0.4740000000000002,1.012658227848101
FI-Hyy,1981-04-22,0.889,0.8860000000000005,1.003386004514672
FI-Hyy,1981-04-23,0.723,0.7200000000000002,1.0041666666666664
FI-Hyy,1981-04-24,0.783,0.7760000000000001,1.009020618556701
FI-Hyy,1981-04-25,1.801,1.7899999999999991,1.0061452513966485
FI-Hyy,1981-04-26,0.423,0.4200000000000001,1.007142857142857
FI-Hyy,1981-04-27,0.732,0.7320000000000001,0.9999999999999999
