class,n,network_frac,version,scheme,network
1,11,0.3142857142857143,geo_vs_geo,3_signed_septiles,marconi
2,9,0.2571428571428571,geo_vs_geo,3_signed_septiles,marconi
3,8,0.22857142857142856,geo_vs_geo,3_signed_septiles,marconi
4,4,0.11428571428571428,geo_vs_geo,3_signed_septiles,marconi
5,2,0.05714285714285714,geo_vs_geo,3_signed_septiles,marconi
6,1,0.02857142857142857,geo_vs_geo,3_signed_septiles,marconi
7,0,0,geo_vs_geo,3_signed_septiles,marconi
1,72,0.2857142857142857,geo_vs_geo,3_signed_septiles,la_thuile
2,74,0.29365079365079366,geo_vs_geo,3_signed_septiles,la_thuile
3,57,0.2261904761904762,geo_vs_geo,3_signed_septiles,la_thuile
4,22,0.0873015873015873,geo_vs_geo,3_signed_septiles,la_thuile
5,6,0.023809523809523808,geo_vs_geo,3_signed_septiles,la_thuile
6,2,0.007936507936507936,geo_vs_geo,3_signed_septiles,la_thuile
7,19,0.07539682539682539,geo_vs_geo,3_signed_septiles,la_thuile
1,52,0.24528301886792453,geo_vs_geo,3_signed_septiles,fluxnet2015
2,63,0.2971698113207547,geo_vs_geo,3_signed_septiles,fluxnet2015
3,41,0.19339622641509435,geo_vs_geo,3_signed_septiles,fluxnet2015
4,25,0.1179245283018868,geo_vs_geo,3_signed_septiles,fluxnet2015
5,6,0.02830188679245283,geo_vs_geo,3_signed_septiles,fluxnet2015
6,5,0.02358490566037736,geo_vs_geo,3_signed_septiles,fluxnet2015
7,20,0.09433962264150944,geo_vs_geo,3_signed_septiles,fluxnet2015
1,205,0.26248399487836105,geo_vs_geo,3_signed_septiles,current_781
2,206,0.26376440460947503,geo_vs_geo,3_signed_septiles,current_781
3,133,0.1702944942381562,geo_vs_geo,3_signed_septiles,current_781
4,117,0.14980793854033292,geo_vs_geo,3_signed_septiles,current_781
5,24,0.030729833546734954,geo_vs_geo,3_signed_septiles,current_781
6,18,0.023047375160051217,geo_vs_geo,3_signed_septiles,current_781
7,78,0.0998719590268886,geo_vs_geo,3_signed_septiles,current_781
1,467,0.5979513444302177,geo_vs_data,3_signed_septiles,current_781
2,19,0.024327784891165175,geo_vs_data,3_signed_septiles,current_781
3,9,0.011523687580025609,geo_vs_data,3_signed_septiles,current_781
4,5,0.006402048655569782,geo_vs_data,3_signed_septiles,current_781
5,0,0,geo_vs_data,3_signed_septiles,current_781
6,0,0,geo_vs_data,3_signed_septiles,current_781
7,136,0.17413572343149808,geo_vs_data,3_signed_septiles,current_781
1,130,0.6132075471698113,geo_vs_data,3_signed_septiles,fluxnet2015
2,1,0.0047169811320754715,geo_vs_data,3_signed_septiles,fluxnet2015
3,4,0.018867924528301886,geo_vs_data,3_signed_septiles,fluxnet2015
4,2,0.009433962264150943,geo_vs_data,3_signed_septiles,fluxnet2015
5,0,0,geo_vs_data,3_signed_septiles,fluxnet2015
6,0,0,geo_vs_data,3_signed_septiles,fluxnet2015
7,35,0.1650943396226415,geo_vs_data,3_signed_septiles,fluxnet2015
