class,n,network_frac,version,scheme,network
1,428,0.5480153649167734,geo_vs_data,2_signed_anchored_hw25,current_781
2,20,0.02560819462227913,geo_vs_data,2_signed_anchored_hw25,current_781
3,16,0.020486555697823303,geo_vs_data,2_signed_anchored_hw25,current_781
4,56,0.07170294494238157,geo_vs_data,2_signed_anchored_hw25,current_781
5,13,0.016645326504481434,geo_vs_data,2_signed_anchored_hw25,current_781
6,25,0.03201024327784891,geo_vs_data,2_signed_anchored_hw25,current_781
7,78,0.0998719590268886,geo_vs_data,2_signed_anchored_hw25,current_781
1,124,0.5849056603773585,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
2,4,0.018867924528301886,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
3,0,0,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
4,20,0.09433962264150944,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
5,1,0.0047169811320754715,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
6,4,0.018867924528301886,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
7,19,0.08962264150943396,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
1,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
2,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
3,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
4,35,1,geo_vs_geo,2_signed_anchored_hw50,marconi
5,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
6,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
7,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
1,0,0,geo_vs_geo,2_signed_anchored_hw50,la_thuile
2,2,0.007936507936507936,geo_vs_geo,2_signed_anchored_hw50,la_thuile
3,1,0.003968253968253968,geo_vs_geo,2_signed_anchored_hw50,la_thuile
4,248,0.9841269841269841,geo_vs_geo,2_signed_anchored_hw50,la_thuile
5,0,0,geo_vs_geo,2_signed_anchored_hw50,la_thuile
6,0,0,geo_vs_geo,2_signed_anchored_hw50,la_thuile
7,1,0.003968253968253968,geo_vs_geo,2_signed_anchored_hw50,la_thuile
1,0,0,geo_vs_geo,2_signed_anchored_hw50,fluxnet2015
2,0,0,geo_vs_geo,2_signed_anchored_hw50,fluxnet2015
3,0,0,geo_vs_geo,2_signed_anchored_hw50,fluxnet2015
4,211,0.9952830188679245,geo_vs_geo,2_signed_anchored_hw50,fluxnet2015
5,0,0,geo_vs_geo,2_signed_anchored_hw50,fluxnet2015
6,1,0.0047169811320754715,geo_vs_geo,2_signed_anchored_hw50,fluxnet2015
7,0,0,geo_vs_geo,2_signed_anchored_hw50,fluxnet2015
1,0,0,geo_vs_geo,2_signed_anchored_hw50,current_781
2,5,0.006402048655569782,geo_vs_geo,2_signed_anchored_hw50,current_781
3,6,0.0076824583866837385,geo_vs_geo,2_signed_anchored_hw50,current_781
4,766,0.9807938540332907,geo_vs_geo,2_signed_anchored_hw50,current_781
5,1,0.0012804097311139564,geo_vs_geo,2_signed_anchored_hw50,current_781
6,3,0.0038412291933418692,geo_vs_geo,2_signed_anchored_hw50,current_781
7,0,0,geo_vs_geo,2_signed_anchored_hw50,current_781
1,399,0.5108834827144686,geo_vs_data,2_signed_anchored_hw50,current_781
2,14,0.01792573623559539,geo_vs_data,2_signed_anchored_hw50,current_781
3,5,0.006402048655569782,geo_vs_data,2_signed_anchored_hw50,current_781
4,125,0.16005121638924455,geo_vs_data,2_signed_anchored_hw50,current_781
5,15,0.019206145966709345,geo_vs_data,2_signed_anchored_hw50,current_781
6,15,0.019206145966709345,geo_vs_data,2_signed_anchored_hw50,current_781
7,63,0.08066581306017925,geo_vs_data,2_signed_anchored_hw50,current_781
1,115,0.5424528301886793,geo_vs_data,2_signed_anchored_hw50,fluxnet2015
2,5,0.02358490566037736,geo_vs_data,2_signed_anchored_hw50,fluxnet2015
3,1,0.0047169811320754715,geo_vs_data,2_signed_anchored_hw50,fluxnet2015
4,30,0.14150943396226415,geo_vs_data,2_signed_anchored_hw50,fluxnet2015
5,2,0.009433962264150943,geo_vs_data,2_signed_anchored_hw50,fluxnet2015
6,0,0,geo_vs_data,2_signed_anchored_hw50,fluxnet2015
7,19,0.08962264150943396,geo_vs_data,2_signed_anchored_hw50,fluxnet2015
