class,n,network_frac,version,scheme,network
1,1,0.02857142857142857,geo_vs_geo,1_absolute_existing,marconi
2,2,0.05714285714285714,geo_vs_geo,1_absolute_existing,marconi
3,2,0.05714285714285714,geo_vs_geo,1_absolute_existing,marconi
4,6,0.17142857142857143,geo_vs_geo,1_absolute_existing,marconi
5,12,0.34285714285714286,geo_vs_geo,1_absolute_existing,marconi
6,11,0.3142857142857143,geo_vs_geo,1_absolute_existing,marconi
7,1,0.02857142857142857,geo_vs_geo,1_absolute_existing,marconi
1,1,0.003968253968253968,geo_vs_geo,1_absolute_existing,la_thuile
2,6,0.023809523809523808,geo_vs_geo,1_absolute_existing,la_thuile
3,26,0.10317460317460317,geo_vs_geo,1_absolute_existing,la_thuile
4,47,0.1865079365079365,geo_vs_geo,1_absolute_existing,la_thuile
5,88,0.3492063492063492,geo_vs_geo,1_absolute_existing,la_thuile
6,67,0.26587301587301587,geo_vs_geo,1_absolute_existing,la_thuile
7,17,0.06746031746031746,geo_vs_geo,1_absolute_existing,la_thuile
1,4,0.018867924528301886,geo_vs_geo,1_absolute_existing,fluxnet2015
2,11,0.05188679245283019,geo_vs_geo,1_absolute_existing,fluxnet2015
3,36,0.16981132075471697,geo_vs_geo,1_absolute_existing,fluxnet2015
4,39,0.18396226415094338,geo_vs_geo,1_absolute_existing,fluxnet2015
5,68,0.32075471698113206,geo_vs_geo,1_absolute_existing,fluxnet2015
6,36,0.16981132075471697,geo_vs_geo,1_absolute_existing,fluxnet2015
7,18,0.08490566037735849,geo_vs_geo,1_absolute_existing,fluxnet2015
1,12,0.015364916773367477,geo_vs_geo,1_absolute_existing,current_781
2,41,0.052496798975672214,geo_vs_geo,1_absolute_existing,current_781
3,112,0.14340588988476313,geo_vs_geo,1_absolute_existing,current_781
4,147,0.1882202304737516,geo_vs_geo,1_absolute_existing,current_781
5,211,0.2701664532650448,geo_vs_geo,1_absolute_existing,current_781
6,191,0.24455825864276567,geo_vs_geo,1_absolute_existing,current_781
7,67,0.08578745198463508,geo_vs_geo,1_absolute_existing,current_781
1,7,0.008962868117797696,geo_vs_data,1_absolute_existing,current_781
2,42,0.05377720870678617,geo_vs_data,1_absolute_existing,current_781
3,30,0.03841229193341869,geo_vs_data,1_absolute_existing,current_781
4,27,0.034571062740076826,geo_vs_data,1_absolute_existing,current_781
5,28,0.03585147247119078,geo_vs_data,1_absolute_existing,current_781
6,34,0.04353393085787452,geo_vs_data,1_absolute_existing,current_781
7,468,0.5992317541613317,geo_vs_data,1_absolute_existing,current_781
1,7,0.0330188679245283,geo_vs_data,1_absolute_existing,fluxnet2015
2,11,0.05188679245283019,geo_vs_data,1_absolute_existing,fluxnet2015
3,3,0.014150943396226415,geo_vs_data,1_absolute_existing,fluxnet2015
4,5,0.02358490566037736,geo_vs_data,1_absolute_existing,fluxnet2015
5,6,0.02830188679245283,geo_vs_data,1_absolute_existing,fluxnet2015
6,8,0.03773584905660377,geo_vs_data,1_absolute_existing,fluxnet2015
7,132,0.6226415094339622,geo_vs_data,1_absolute_existing,fluxnet2015
