site_id,half_width
AR-CCa,12.11955843744002
AR-CCg,39.09763759968001
AR-TF1,5.1398751312
AR-TF2,9.994841854272003
AT-Mmg,87.31707108768002
AT-Neu,77.81042272278901
AT-Nsd,13.256156882879992
AT-PsM,23.82843592350719
AT-Zoe,34.020546045284505
AU-ASM,5.118044674643407
AU-Ade,22.03430646527997
AU-Boy,13.443767644752
AU-Col,60.63627100435198
AU-Cow,77.60815121918256
AU-Cpr,5.061915360275023
AU-Ctr,114.8494943709257
AU-Cum,21.570209333568016
AU-DaP,36.782878204799985
AU-DaS,47.25215015365717
AU-Dry,22.929566771126076
AU-Emr,7.8196450636799995
AU-Fle,23.9741382096
AU-Fog,17.567308494720038
AU-GWW,7.300707468506175
AU-Gin,18.179874253287466
AU-How,40.30468769953518
AU-Lit,59.41532631801604
AU-Lon,19.063202271033575
AU-MvA,18.28994764032001
AU-Otw,25.722018426240027
AU-RDF,55.482186384000045
AU-Rgf,18.22449007460571
AU-Rig,7.2593581454043346
AU-Rob,43.80046137481838
AU-Sam,34.27236505621028
AU-Sil,9.758813468543996
AU-Stp,12.553093004415864
AU-Wac,56.76056726400009
AU-Wel,62.8004279088
AU-Whr,21.88029106738287
AU-Wom,43.7506921371928
AU-Wrr,48.71891721512777
AU-Ya1,32.41363712543999
AU-Ya2,31.209264455039996
AU-Ync,10.47046824796449
BE-Bra,20.19967169307438
BE-Dor,19.81436926457354
BE-Lcr,29.97682779887998
BE-Lon,15.83801457087344
BE-Maa,5.192586630143994
BE-Vie,23.716839027418445
BJ-Bfg,65.1803125638856
BJ-Db1,23.26385767679983
BJ-Nhu,41.01652552015544
BR-ITA,39.66340506048
BR-Ji3,73.85008265279998
BR-Ma2,173.05408389314022
BR-Ma3,162.6927494130515
BR-Npw,70.46341375391998
BR-Sa1,69.31808389851432
BR-Sa3,56.77768483200001
BR-Xpw,39.19570097932801
CA-ARB,2.6876960029178214
CA-ARF,2.379486635313226
CA-CF3,2.3703450932159917
CA-Ca1,29.27134987155688
CA-Ca2,21.66329911077827
CA-Cbo,34.985252395686956
CA-DB2,31.4051987808
CA-DBB,28.745597888639995
CA-DSM,18.72805942079999
CA-EM1,17.3349427968
CA-EM2,13.790013894720033
CA-Gro,14.398725220819173
CA-Man,6.369523015979222
CA-Mer,9.964885581715812
CA-Qfo,12.793590464914288
CA-RBM,10.484551526400011
CA-SJ2,8.707864010975989
CA-TP1,31.468553021176433
CA-TP2,40.86357950304
CA-TP3,15.074476717088771
CA-TP4,29.59235661536598
CA-TPA,23.18206881024001
CA-TPD,26.57513876783301
CD-Ygb,92.73462417734405
CG-Tch,7.203741847199979
CH-Aws,46.385678539923234
CH-Cha,99.83926594228944
CH-Crs,66.68606278656002
CH-Dav,100.71264465371209
CH-Fru,142.70090502407083
CH-Lae,105.64434183964448
CH-Oe1,17.489130380640034
CH-Oe2,28.299715180706194
CH-Oe3,28.11487588214402
CH-Rh1,100.68525064215358
CH-Rh2,110.99987149536003
CH-Rtb,50.50688433150384
CH-Tnk,8.938352768255982
CL-SDF,35.4529652822208
CL-SDP,8.596592346239987
CN-Aro,24.433958530786896
CN-Ash,61.104782226501925
CN-BeO,41.10591305221715
CN-Dda,2.45760794496001
CN-Dmn,29.17888512435661
CN-Dsh,10.059891606182447
CN-Du2,16.191894186514283
CN-Dzo,60.74145542874851
CN-Erg,23.59087204319999
CN-Ha2,15.389599636655973
CN-HaM,9.136436110169157
CN-HaW,21.43622906351999
CN-HeD,2.6388432406368008
CN-HeM,24.807184259904005
CN-Huz,4.802304602879957
CN-Jng,10.123532273951994
CN-Jzh,53.60158342123211
CN-Lch,96.53957898115328
CN-Lsh,45.35635685760005
CN-Nmn,16.515834821567978
CN-Sb1,24.100402521600245
CN-Sb2,31.697325233280026
CN-Sdq,11.083191489824912
CN-Xi2,33.797158639627895
CN-YaS,5.327709057557479
CN-Yan,9.34232318783998
CN-You,8.61274767527999
CN-Yuc,48.37461520558628
CN-Zha,48.830958206142554
CR-AqC,53.44736341433139
CR-Fsc,169.9679659392001
CZ-BK1,29.93113684475952
CZ-BK2,11.289023921005713
CZ-KrP,11.331047113574407
CZ-LnG,22.579993978559994
CZ-Lnz,16.713715840337443
CZ-RAJ,28.093689310496174
CZ-Stn,50.75977270593444
CZ-wet,18.341945271784425
DE-Akm,20.930298573154904
DE-Amv,5.654677910400004
DE-Brs,15.988677125760063
DE-Fen,37.283708704320006
DE-Geb,22.006661290560018
DE-Gri,13.98692730107652
DE-GsB,20.962154098629824
DE-Hai,27.587952697783436
DE-Har,26.833825342080004
DE-Hdn,14.727921534719968
DE-HoH,22.300767477294514
DE-Hte,13.495439994796797
DE-Hzd,38.74803889937588
DE-Kli,17.454392063758064
DE-Msr,43.517692528703975
DE-Obe,27.382883414161157
DE-Rns,27.77520480796798
DE-RuC,11.542855224383999
DE-RuM,13.650070325677717
DE-RuR,13.671668632290917
DE-RuS,11.941157922495137
DE-RuW,51.29246408217844
DE-Seh,21.95475617087999
DE-SfS,27.424406632738936
DE-Spw,17.715951028799992
DE-Tha,12.271156630092719
DE-Zrk,65.42541307891747
DK-Eng,8.015452649280007
DK-RCW,15.26306224320004
DK-Sor,12.941602895754386
DK-Vng,6.196100192640017
EE-Pts,10.349696756159998
EE-Stg,16.46330973099427
ES-Abr,10.363555469952015
ES-Amo,4.63363527551563
ES-Crg,43.877746332
ES-FtD,36.91294935264
ES-HeB,36.50563124616963
ES-Hen,51.122225881152005
ES-LJu,30.19590628061696
ES-LM1,9.630832482274924
ES-LM2,9.212932386672868
ES-LMa,12.442898686176008
ES-LgS,6.869677210559999
ES-Mcd,20.48401900215771
ES-MtB,8.491232233440002
ES-Mzn,19.776833847359995
ES-Pdu,21.319673601599995
ES-Pzb,11.381152708799998
ES-Srn,24.80459988096001
ES-VDA,43.46400905856002
ES-Yst,15.76082655359997
FI-Hyy,9.209306248551982
FI-Jok,5.453189624160025
FI-Ken,12.948152340507434
FI-Let,22.634354844851654
FI-Nsv,3.105861584256001
FI-Qvd,58.85505821376
FI-Rk2,20.57433333465599
FI-Ruk,28.860795186479976
FI-Sar,13.720636396799982
FI-Sii,3.4924830726857152
FI-Sod,11.235727831679995
FI-Var,10.502877987216
FR-Aur,15.451478344486276
FR-Bil,14.772266517730884
FR-CLt,16.393498824844784
FR-EM2,34.910028524694866
FR-FBn,25.93982070073025
FR-Fon,23.966790347520032
FR-Gri,28.690477033290932
FR-LBr,20.30195637535266
FR-LGt,25.985869758144005
FR-Lam,23.188911724799965
FR-Lqu,14.976501168959992
FR-Lus,9.768797303039975
FR-Mau,24.57939246192001
FR-Mej,18.34188234089143
FR-Nzn,33.668122539065145
FR-Pue,20.255482598518086
FR-Tou,26.049379842000008
GF-Guy,48.035946081877384
GL-Dsk,8.720431531200006
HK-MPM,55.28425115519997
ID-JOP,31.2416596576183
ID-PaB,62.21648602015552
ID-PaD,81.55435872359858
ID-Pag,71.7267147672261
IE-CaC,9.864951355007989
IE-CaN,8.79556734720002
IE-Cra,5.750786566079999
IL-Yat,8.095193829117378
IT-Arz,18.494791434411418
IT-BCi,26.567586520085648
IT-BFt,58.929923971748565
IT-BsB,431.56697127407995
IT-CA1,20.591028100799974
IT-CA2,41.331678684480025
IT-CA3,41.46165771264006
IT-Cp2,21.347732939451475
IT-Cpz,20.270409401211424
IT-Lav,29.191662287068425
IT-Lsn,9.516084187651195
IT-MBo,13.121033914281561
IT-MtM,31.268741414198388
IT-MtP,28.367208210239994
IT-NiG,30.779292823775982
IT-Noe,86.04809654112002
IT-PT1,22.97283249600008
IT-Ren,71.70706977411783
IT-Ro1,27.84121278027426
IT-Ro2,29.58741317836791
IT-SR2,32.54293358366884
IT-SRo,26.761546274106223
IT-Tor,35.90874488048647
IT-TrF,22.342162352209243
JP-Api,25.16529008949591
JP-Fhk,23.677452945571773
JP-Fjy,15.987584632629137
JP-Fmt,87.71122378532573
JP-Kzw,60.293731788411414
JP-MMF,33.01550647323427
JP-Mse,11.072353637520038
JP-NsC,18.054472310857335
JP-NsM,15.52301454056726
JP-Nuf,49.8432792384
JP-SMF,81.27591573434296
JP-Spp,53.347952513564394
JP-Srk,32.805207614879805
JP-Ta2,52.97865916412576
JP-Tak,29.90917129447277
JP-Tef,18.859978438944125
JP-Tmd,10.637765159801134
JP-Tmk,12.140164586880019
JP-Toc,28.538732475360007
JP-Yms,32.29318342111729
JP-Ynf,25.33567509720001
KE-Chk,5.987999260799995
KE-Kpt,12.041903833343994
KE-Mkt,11.056483532159945
KR-AdC,24.029028820799965
KR-CRK,24.52413739885711
KR-CmF,20.646644299199977
KR-GmR,22.48560452736001
KR-GmS,30.82676451840001
KR-HPK,24.20311747679989
KR-HcM,57.720337490447946
KR-Hnm,98.35611914606402
KR-JjM,15.472941344927904
KR-Kw1,149.2952446883519
KR-Kw2,53.03743101100801
KR-Nj1,32.34000660480001
KR-Nj2,20.462851670399974
KR-PcD,196.85655045215998
KR-SmM,32.588358257088004
KR-UAO,19.324540967039994
KR-WdE,80.54494156799993
ML-Kem,24.793905237119986
MN-Hst,7.101215292453119
MN-Kbu,22.307281604352028
MN-Nkh,3.308374421567983
MX-Aog,52.61962329403201
MX-Tes,10.511441087327995
MY-LHP,211.62085063097146
NL-Hrw,32.63096273101714
NL-Loo,17.005393396617592
NL-Vkp,28.234096021649435
NO-And,3.3356322408960004
NO-Fns,5.638230509184002
NO-Hur,27.121132022400026
NZ-ADd,15.171055579583992
NZ-ADw,23.789751472306293
NZ-BFm,12.174798752640015
NZ-BFu,11.544287443199977
NZ-Cla,32.46234037948801
NZ-Kop,18.242995583376015
NZ-Lau,31.64576731360458
NZ-Oxf,19.734096106368014
NZ-ScF,27.750963968640008
PA-SPn,95.61886166591998
PA-SPs,77.97424280543999
PE-QFR,83.25643506623999
PR-xGU,20.249840108159987
PR-xLA,95.77084700303998
RU-Ch2,7.962852890262852
RU-Che,10.154707793280004
RU-Fy2,17.720907306984003
RU-Fy4,24.555300552
RU-Fyo,16.956315532733655
SD-Dem,9.442301924160013
SE-Deg,1.2935498523840039
SE-HfM,9.850892444640003
SE-Hmr,8.873252874719991
SE-Htm,30.983040925961166
SE-Nor,29.736297197897187
SE-Ros,30.498018302139428
SE-Srj,8.163746709695998
SE-St1,18.10286415216001
SE-Sto,2.0906119526400033
SE-Svb,12.212456968669095
SN-Dhr,11.48133760681091
SN-Nkr,12.773347645988565
TH-Mae,35.20401867473146
UK-AMo,8.749432018456483
UK-BnB,7.743304172447999
UK-CCr,5.286791116799989
UK-GaB,5.285060403839992
UK-Gnn,10.19677119264
UK-Gwr,10.179700462080021
UK-HgF,14.627532355200032
UK-HpF,7.057611907200027
US-A03,24.50588850975086
US-A39,12.559524180479983
US-ABa,24.691839552000033
US-ABb,29.584337149440017
US-ABc,29.787847848000013
US-ABd,26.724375292608016
US-ABe,38.80738430784004
US-ADR,2.4854060875967994
US-AR1,30.188287952352
US-AR2,9.664768082016003
US-ARM,14.571720357762715
US-ARb,12.75315943679999
US-ARc,6.150823257599983
US-Aud,16.57594233964865
US-BRG,71.61196666752004
US-BZB,21.898365020135074
US-BZF,22.963011698376505
US-BZo,18.64603763218286
US-Bar,46.06534122840475
US-Bi1,67.14552432671996
US-Bi2,75.32660655668587
US-CF1,12.446059958064026
US-CF2,17.931296427840053
US-CF3,9.265065120000003
US-CF4,11.541289190400022
US-CGG,49.35621437567999
US-CMW,115.29555736720567
US-CRK,31.634108035488026
US-CRT,20.043167904000015
US-CdM,8.42659040592001
US-Ced,16.116695683776
US-ChR,104.86507947891761
US-Cop,3.0684574249919976
US-Cst,17.42297437094399
US-DFC,37.63111088217602
US-DPW,64.89463972607999
US-DS2,93.07718333279996
US-DS3,31.921972473599993
US-Dix,18.888922941119993
US-Dk1,59.996727738473155
US-Dk2,46.85906602738277
US-Dk3,62.62558847074291
US-Dmg,19.086768711360094
US-EDN,11.047589298925715
US-EKH,9.235625909760003
US-EKP,38.79007557983999
US-EML,13.9026425779622
US-Elm,19.66079576525797
US-Esm,39.04175396077082
US-EvM,8.152336338667205
US-Fmf,22.042456675776002
US-Fuf,23.128597377791998
US-Fwf,3.943808616833273
US-GLE,28.02863340678138
US-HB1,118.88085286573713
US-HB2,52.99358855936924
US-HB3,18.982123217279998
US-HB4,68.67631099497602
US-HBK,35.112528386948554
US-HWB,191.38878605951996
US-Ha1,52.004514819534606
US-Hsm,31.977226481471973
US-IAB,14.442204502080031
US-IAC,12.49710254784003
US-IAM,30.694901458751986
US-ICh,15.447035944285712
US-ICs,11.509683536964147
US-ICt,13.925221298660569
US-Jo1,10.882846303017885
US-KFS,17.751418012762983
US-KLS,125.10088508707196
US-KPL,8.754029125919997
US-KS2,33.84155370383996
US-Kon,19.759695123317464
US-LA3,16.345584086400038
US-LS1,20.818285849727985
US-LS2,26.59586793983999
US-MBP,8.366495996817491
US-MEF,16.754452231680006
US-MMS,22.254161729760625
US-MN1,14.97588626694855
US-MN2,13.260543176951998
US-MN3,13.345463545199976
US-MOz,18.081326065637654
US-Me3,12.495041680607997
US-Me5,4.251468150719987
US-Me6,38.64382655379586
US-Me7,7.102660867200001
US-Mo1,16.938030165119955
US-Mo2,12.011809038171421
US-Mo3,13.404339466992013
US-Mpj,7.087450149959295
US-Myb,31.14930925286501
US-NC1,27.639540083557026
US-NC2,43.95256609914151
US-NC3,38.15906751977144
US-Ne1,21.824304322779
US-Ne2,26.002303878074912
US-Ne3,22.752951199896472
US-ONA,18.83541139858289
US-Oho,20.337420352433128
US-PLo,7.053775228799992
US-Prr,13.993259325295785
US-RC1,17.726829210086322
US-RC2,19.795325175360034
US-RC4,55.03600082332798
US-RC5,41.71746058559995
US-RGA,16.02778464288002
US-RGB,25.29965719727999
US-RGF,28.44761731200006
US-RGW,11.575863525887968
US-RGo,29.915398103039976
US-RRC,46.72377718848
US-Rls,37.92147672634972
US-Rms,23.038622861235435
US-Ro1,8.760906863243548
US-Ro2,15.507983175634266
US-Ro3,9.20600982576002
US-Ro4,9.550418173783896
US-Ro5,8.277594035019462
US-Ro6,10.488656344666651
US-Rpf,17.74209600130707
US-Rwe,11.477535742368005
US-Rwf,15.40690675117714
US-Rws,7.496397306287999
US-SD1,23.36557207679996
US-SD2,33.12138574080001
US-SHC,80.42855248224001
US-SP1,56.15760983394205
US-SRC,21.649944271161594
US-SRG,28.617760073200234
US-SRM,30.22555196084013
US-SRS,43.43992896186513
US-SSH,49.19605022128317
US-Seg,8.076038263172133
US-Ses,10.144482132708845
US-Slt,25.223976980332644
US-Sne,64.51440951398399
US-StJ,22.068454734720007
US-TaS,35.13197202623999
US-Ton,21.1948033643215
US-Tw3,49.51232717126401
US-Tw4,24.82151258451745
US-UC1,138.47569925443202
US-UC2,54.18841540031994
US-UMd,14.195623173019698
US-UTV,30.78986100480003
US-UTW,40.93621614720007
US-UiE,35.855888556342904
US-UiF,53.200334313936025
US-UiG,43.94048968799997
US-VT1,25.37535677759999
US-VT2,45.33156887039998
US-Var,30.411800439815146
US-Vcm,21.189251389390357
US-Vcp,25.402548990449503
US-WPT,15.044259513599997
US-WT1,10.880239406975981
US-Wjs,5.096066675266854
US-Wkg,12.144094194281141
US-ZF2,5.506824082175996
US-xAB,60.69645459791998
US-xAE,5.023171564127993
US-xBA,9.308203326720001
US-xBL,43.140161139839975
US-xBN,9.868271741135999
US-xBR,50.04433158047998
US-xCL,14.85051933830401
US-xCP,4.26134076336
US-xDC,6.7170991305599905
US-xDJ,9.877069088927996
US-xDL,17.70424231680002
US-xDS,18.235979185305617
US-xGR,60.07931544499206
US-xHA,16.744231448639994
US-xHE,12.071448480960004
US-xJE,25.02213056928
US-xJR,6.0534906368832
US-xKA,12.880986819840004
US-xKZ,13.15251752543999
US-xMB,7.872923620223995
US-xML,23.236638713279987
US-xNG,8.172059010480002
US-xNQ,13.029041953065597
US-xPU,23.850440038079938
US-xRM,17.35468574820481
US-xSB,10.882858857119999
US-xSC,31.427178335999983
US-xSE,18.938962080863945
US-xSJ,30.92564394259199
US-xSL,6.590592820800005
US-xSP,14.051962416096007
US-xSR,10.932009137856003
US-xST,8.746999916543956
US-xTE,34.817948617824
US-xTL,9.311825806560005
US-xTR,19.982543849279992
US-xUK,23.631773893056
US-xUN,8.513854538112014
US-xWD,6.5763641318400055
US-xWR,31.716190285344002
VU-Coc,52.148406313727975
ZA-BfK,13.213396330991992
ZA-BfS,8.00444236204801
ZA-Spk,52.976242235520004
ZA-Uby,6.57725390323202
ZM-Mon,27.594465820416012
