bin,area_km2,area_frac
1,29390075.49010479,0.17994109365648495
2,29321330.208071355,0.17952019983343284
3,29512870.152892042,0.18069290546876002
4,75060785.75534843,0.45956057118941224
5,14156.397772395292,8.667271706255674e-5
6,14178.425671358558,8.680758314113279e-5
7,18252.238518210168,1.117495517067162e-4
