site_id,flux,location_lat,location_long,tower_value,model_value,n_tower_years,tower_carbon_src,tower_partition,n_models
BR-Sa3,NEE,-3.018,-54.9714,-133.2686860416,-61.567268925390636,5,VUT,NA,17
BR-Xpw,NEE,-16.373,-56.461,268.32666550809597,-57.22654522857647,5,VUT,NA,17
CA-ARB,NEE,52.695,-83.9452,-53.777919771857455,-26.19699325174554,13,VUT,NA,17
CA-ARF,NEE,52.7008,-83.955,-17.462803234286774,-26.191515253597004,14,VUT,NA,17
CA-CF3,NEE,58.6658,-93.8304,-51.42701604643201,-11.714089588613092,4,VUT,NA,17
CA-Ca1,NEE,49.8673,-125.3336,-345.69275413513844,-32.361065734940894,13,VUT,NA,17
CA-Ca2,NEE,49.8705,-125.2909,579.8129367995346,-32.670746695775506,11,VUT,NA,17
CA-Ca3,NEE,49.5346,-124.9004,-458.9801441841614,-33.028667786567894,14,CUT,NA,17
CA-Cbo,NEE,44.3184,-79.9341,-320.1404825361658,-58.26204472794211,28,VUT,NA,17
CA-DB2,NEE,49.119,-122.9951,4.879304307072001,-48.84573349662833,6,VUT,NA,17
CA-DBB,NEE,49.1293,-122.9849,-23.25071071740342,-48.61325381630468,9,VUT,NA,17
CA-DSM,NEE,49.0887,-122.8954,-71.44669342079996,-49.958152015552514,4,VUT,NA,17
CA-EM1,NEE,50.3623,-100.2024,8.09967807360001,-42.94962154215409,3,VUT,NA,17
CA-EM2,NEE,50.3706,-100.5339,-180.26253964224,-41.697185206241556,3,VUT,NA,17
CA-Gro,NEE,48.2167,-82.1556,-121.99151359400723,-50.287198747581215,12,VUT,NA,17
CA-LP1,NEE,55.1119,-122.8414,-168.14536865992144,-35.34410124547958,14,CUT,NA,17
CA-Man,NEE,55.8796,-98.4808,-20.73741946368498,-35.46212974282014,14,VUT,NA,17
CA-Mer,NEE,45.4094,-75.5186,-86.50937814338317,-47.21416668623715,23,VUT,NA,17
CA-Ojp,NEE,53.9163,-104.692,-51.816460931094866,-44.24174937022633,8,CUT,NA,17
CA-Qfo,NEE,49.6925,-74.3421,4.4611868818285725,-30.55721366304101,8,VUT,NA,17
CA-RBM,NEE,49.1313,-123.1964,71.897994144,-47.93983885701164,3,VUT,NA,17
CA-SCC,NEE,61.3079,-121.2992,-36.83709590817599,-41.16823061167224,9,CUT,NA,17
CA-SJ2,NEE,53.945,-104.649,128.838406830336,-43.73667654648841,6,VUT,NA,17
CA-TP1,NEE,42.6609,-80.5595,167.60264163915645,-69.65595719604494,21,VUT,NA,17
CA-TP2,NEE,42.7744,-80.4588,-858.3705212716801,-65.26209267923696,5,VUT,NA,17
CA-TP3,NEE,42.7068,-80.3483,-557.0552981135846,-58.35491899291958,21,VUT,NA,17
CA-TP4,NEE,42.7102,-80.3574,-133.2442739187999,-58.84184819580071,21,VUT,NA,17
CA-TPA,NEE,42.6947,-80.3487,-266.13943507584,-58.376322474365,4,VUT,NA,17
CA-TPD,NEE,42.6353,-80.5577,-180.37052927643924,-69.55964152954084,11,VUT,NA,17
CD-Ygb,NEE,0.814444,24.502472,257.22775474272004,-67.105810673615,6,VUT,NA,17
CG-Tch,NEE,-4.2891665,11.656417,-187.16456113343997,-74.10632430927421,4,VUT,NA,17
CH-Aws,NEE,46.58311,9.790639,-274.6759073712975,-42.873192173910866,18,VUT,NA,17
CH-Cha,NEE,47.21022,8.410444,52.38358795705772,-44.04586690581823,19,VUT,NA,17
CH-Crs,NEE,47.0436,7.0475,-86.11644055680003,-57.026884822941156,2,VUT,NA,17
CH-Dav,NEE,46.81533,9.85591,-260.46620829922807,-45.65870164883296,29,VUT,NA,17
CH-Fru,NEE,47.115833,8.537778,-315.01147961302456,-51.694325050848875,20,VUT,NA,17
CH-Lae,NEE,47.478333,8.364389,-217.84929259573536,-69.28112763187505,21,VUT,NA,17
CH-Oe1,NEE,47.28583,7.731944,-334.29920381406714,-59.32403324733741,10,VUT,NA,17
CH-Oe2,NEE,47.286415,7.73375,-21.931805787238005,-59.26357199786844,21,VUT,NA,17
CH-Oe3,NEE,47.28542,7.732438,-281.6069044565211,-59.32239995938926,10,VUT,NA,17
CH-Rh1,NEE,47.3,9.5,214.83474301151998,-65.35580474853487,4,VUT,NA,17
CH-Rh2,NEE,47.3,9.5,-414.95347154880005,-65.35580474853487,4,VUT,NA,17
CH-Rtb,NEE,47.3804,8.9934,-505.4831988581907,-73.89021257904596,14,VUT,NA,17
CH-Tnk,NEE,47.48058,8.911775,-277.21603661990395,-83.34613922869426,1,VUT,NA,17
CL-SDF,NEE,-41.883,-73.676,-163.33841977344,-72.20129230217344,8,VUT,NA,17
CL-SDP,NEE,-41.879,-73.666,42.63114596140801,-71.58182249575202,8,VUT,NA,17
