site_id,nee_annual_ref,nee_annual_25,nee_annual_75,half_width_site,location_lat,location_long
AU-Lit,-437.11410173472007,-509.69519705540574,-390.86454441937366,59.41532631801604,-13.17904,130.79455
AU-Lon,-132.77238837984,-154.70455986892796,-116.57815532686081,19.063202271033575,-23.52327,144.31042
AU-MvA,108.04829272704,103.48548823296,140.0653835136,18.28994764032001,-30.543,150.02
AU-Otw,-274.77785205503994,-303.32007131904004,-251.87603446656,25.722018426240027,-38.525,142.81
AU-RDF,321.0642614016,259.7128235711999,370.6771963392,55.482186384000045,-14.563639,132.477567
AU-Rgf,-57.51503455762284,-80.36279735862857,-43.91381720941715,18.22449007460571,-32.506102,116.966827
AU-Rig,-139.08795810706286,-146.15119716124525,-131.63248087043658,7.2593581454043346,-36.6499,145.5759
AU-Rob,-1047.0528517862667,-1095.9436212978662,-1008.3426985482295,43.80046137481838,-17.11746943,145.6301375
AU-Sam,-145.70635772952,-193.52609299028572,-124.98136287786515,34.27236505621028,-27.38806,152.87778
AU-Sil,-28.913014768896016,-38.996887940352,-19.47926100326401,9.758813468543996,-42.090556,147.0875
AU-Stp,-84.3784323066277,-94.9055011401656,-69.79931513133387,12.553093004415864,-17.1507,133.3502
AU-Wac,-1772.472951936,-1815.305409792,-1701.784275264,56.76056726400009,-37.4259,145.1878
AU-Wel,-232.61595344639994,-289.4093813088,-163.8085254912,62.8004279088,-32.5727,148.9843
AU-Whr,-404.1430603632,-421.5386735370514,-377.77809140228567,21.88029106738287,-36.6732,145.0294
AU-Wom,-1258.578905888216,-1308.8053442651096,-1221.303959990724,43.7506921371928,-37.422506,144.094046
AU-Wrr,-99.90387431374633,-159.95309845106465,-62.51526402080911,48.71891721512777,-43.09502,146.65452
AU-Ya1,11.991229009919998,-12.824031490559989,52.00324276031999,32.41363712543999,-33.613469,150.734864
