site_id,n_own_years,tower_nee,tower_half_width,model_median,model_min,model_max,n_models,diff_tower_minus_model
CA-ARB,10,-53.777919771857455,2.6876960029178214,-28.412427442251442,-97.27333572412108,7.904018807812546,17,-25.365492329606013
CA-ARF,10,-17.462803234286774,2.379486635313226,-28.475109382177923,-97.86564912316884,7.365522894116478,17,11.012306147891149
CA-Ca1,13,-345.69275413513844,29.27134987155688,-35.38334172664482,-98.39500472633193,10.89663722222049,17,-310.30941240849364
CA-Ca2,11,579.8129367995346,21.66329911077827,-30.276543916645355,-91.19481162431522,13.380278500360298,17,610.0894807161799
CA-Cbo,24,-320.1404825361658,34.985252395686956,-51.61478233977119,-172.46324614301477,17.063265864482812,17,-268.5257001963946
CA-DB2,2,4.879304307072001,31.4051987808,-53.88201538922009,-185.74814419349389,1.2029103495604572,17,58.76131969629209
CA-DBB,6,-23.25071071740342,28.745597888639995,-56.37304845972368,-127.41713417020327,0.5741728531545114,17,33.122337742320255
CA-Gro,12,-121.99151359400723,14.398725220819173,-59.002714367690814,-123.70374305367791,-8.929363323870145,17,-62.98879922631642
CA-Man,14,-20.73741946368498,6.369523015979222,-31.378063924259163,-97.9728950542522,-11.324292117599645,17,10.640644460574183
CA-Mer,23,-86.50937814338317,9.964885581715812,-46.18722750162675,-149.43362585575036,-15.001545715005557,17,-40.32215064175642
CA-Qfo,8,4.4611868818285725,12.793590464914288,-39.04980861877444,-75.12933323796076,-1.1826811473080119,17,43.510995500603016
CA-SJ2,6,128.838406830336,8.707864010975989,-46.74046691538494,-152.29608218373616,28.68898146870932,17,175.57887374572095
CA-TP1,18,167.60264163915645,31.468553021176433,-54.05507480621339,-171.33689097425673,60.575186747062304,17,221.65771644536983
CA-TP2,5,-858.3705212716801,40.86357950304,-55.59486737507832,-136.13371850793334,69.59901480417959,17,-802.7756538966017
CA-TP3,18,-557.0552981135846,15.074476717088771,-51.957728808932565,-162.40441975029816,64.5758571292317,17,-505.09756930465204
CA-TP4,18,-133.2442739187999,29.59235661536598,-52.423624142116886,-162.7892942206488,64.24086695430218,17,-80.82064977668301
CA-TPA,1,-266.13943507584,23.18206881024001,-32.13481372593523,-186.6715833471976,49.971892302591,17,-234.0046213499048
CA-TPD,9,-180.37052927643924,26.57513876783301,-58.075079400634934,-177.34674066365548,53.986772569633466,17,-122.29544987580431
CD-Ygb,1,257.22775474272004,92.73462417734405,-65.61125546764669,-234.7029322333369,-0.03576192908236209,17,322.8390102103667
CG-Tch,4,-187.16456113343997,7.203741847199979,-76.48160962587998,-171.27626037597656,77.489288330078125,17,-110.68295150755999
CH-Aws,14,-274.6759073712975,46.385678539923234,-45.01507010899256,-172.64830627324082,-0.9085204418382081,17,-229.66083726230494
CH-Cha,15,52.38358795705772,99.83926594228944,-49.41210867404167,-162.47144811764244,20.546794809726983,17,101.79569663109939
CH-Crs,2,-86.11644055680003,66.68606278656002,-53.532578367553654,-209.89882551135227,6.262611558837679,17,-32.583862189246375
CH-Dav,24,-260.46620829922807,100.71264465371209,-53.35844182103437,-155.3032379877536,-0.34025088840963996,17,-207.1077664781937
CH-Fru,16,-315.01147961302456,142.70090502407083,-52.59688312826457,-152.2856515341062,6.2864263112509535,17,-262.41459648476
CH-Lae,17,-217.84929259573536,105.64434183964448,-67.06492330672431,-176.5116414138109,-5.322864738685322e-4,17,-150.78436928901107
CH-Oe1,10,-334.29920381406714,17.489130380640034,-78.52412727992683,-166.11941474276125,6.036137571269056,17,-255.7750765341403
CH-Oe2,17,-21.931805787238005,28.299715180706194,-63.63380370258922,-166.0166031110338,4.455822156921352,17,41.701997915351214
CH-Oe3,10,-281.6069044565211,28.11487588214402,-78.53710866230055,-166.10139890303017,6.158860937988422,17,-203.0697957942205
CH-Rh1,3,214.83474301151998,100.68525064215358,-71.33656209309848,-226.46191355387367,-0.9004079173156333,17,286.17130510461845
CH-Rh2,3,-414.95347154880005,110.99987149536003,-71.33656209309848,-226.46191355387367,-0.9004079173156333,17,-343.6169094557016
CH-Rtb,12,-505.4831988581907,50.50688433150384,-68.37587034288774,-164.6331211167006,-0.23378546044156936,17,-437.1073285153029
CL-SDF,7,-163.33841977344,35.4529652822208,-74.70015038190554,-195.57848806347667,26.087865710728202,17,-88.63826939153445
CL-SDP,7,42.63114596140801,8.596592346239987,-74.91810486711786,-195.28886501981017,26.07996333884977,17,117.54925082852587
CN-Aro,8,-352.7599061825281,24.433958530786896,-23.644402098678416,-70.2189397484365,2.729002291701798,17,-329.11550408384966
CN-Ash,11,-1461.0853211149963,61.104782226501925,-81.52654998206592,-221.01643305097357,-16.369846338858743,17,-1379.5587711329304
CN-BeO,9,-48.069669188962266,41.10591305221715,-56.08468180018945,-180.56385876125813,37.487173881047354,17,8.015012611227185
CN-Dda,3,-110.29059591551999,2.45760794496001,-14.881325651050451,-130.73874214959665,8.716914878650899,17,-95.40927026446954
CN-Dmn,9,-703.7716394224201,29.17888512435661,-15.91417367010003,-85.79185392864689,0.5354683785740073,17,-687.8574657523201
CN-Dsh,8,-306.3070890057207,10.059891606182447,-6.412129246398846,-171.0886213832306,0.01914024803612682,17,-299.89495975932186
CN-Du2,8,-104.03697452179887,16.191894186514283,-33.69045445904314,-172.57256629098643,14.285496915215496,17,-70.34652006275573
CN-Dzo,9,-1006.6979438138056,60.74145542874851,-101.1199914550779,-247.33133554687427,-38.05346045057522,17,-905.5779523587278
CN-Erg,3,-28.829835999359986,23.59087204319999,-29.271856971112744,-134.35208534940443,57.21983039907101,17,0.4420209717527577
CN-Ha2,9,-268.174704121056,15.389599636655973,-26.581172445823842,-87.36806259428856,2.05112935938928,17,-241.59353167523213
CN-HaM,14,-215.8747560119314,9.136436110169157,-29.316143511408626,-76.38972366872974,2.428238117085188,17,-186.55861250052277
CN-HaW,6,-308.89373510304,21.43622906351999,-25.44264204325701,-78.71409962201305,2.0044131299140098,17,-283.451093059783
CN-HeD,2,15.649255956960001,2.6388432406368008,0.08990958685035608,-3.884041069281013,11.63447667781219,17,15.559346370109646
CN-HeM,8,-400.85591680629807,24.807184259904005,3.035440180506592e-4,-3.2268571699434205,4.976053998265682,17,-400.8562203503161
CN-Huz,6,-228.29881559904,4.802304602879957,-22.34699483661259,-108.30888014203899,1.0710510661788435,17,-205.95182076242742
CN-Jng,3,-169.51814193887998,10.123532273951994,-39.17525507414658,-129.38519508345476,7.460975989036804,17,-130.3428868647334
CN-Jzh,5,-526.4746137912961,53.60158342123211,-54.96251344877417,-381.82886241697213,5.0550762483875955,17,-471.5121003425219
CN-Lch,12,-623.2123644110088,96.53957898115328,-56.7259219077643,-321.7316157937371,134.78321106748595,17,-566.4864425032445
CN-Lsh,5,187.423857072,45.35635685760005,-44.89486234621028,-266.3725051439818,51.362256560743276,17,232.3187194182103
CN-Nmn,5,-437.16264582700796,16.515834821567978,-37.6438391088815,-201.1639362286639,1.4994673368095048,17,-399.5188067181265
CN-Sb1,1,-1883.3090471423998,24.100402521600245,-40.7847003906051,-206.69433306701742,59.9774996412541,17,-1842.5243467517946
CN-Sb2,1,-1270.8376968407042,31.697325233280026,-42.76518221664565,-209.80219362144067,61.28330594018958,17,-1228.0725146240586
CN-Sdq,8,-262.8219294542263,11.083191489824912,3.048125411096764e-4,-3.214522441395159,5.300096997743756,17,-262.8222342667674
CN-Xi2,8,-142.68383414043427,33.797158639627895,-28.48882348887886,-126.335379891858,3.183263428539531,17,-114.1950106515554
CN-YaS,10,7.720823202237259,5.327709057557479,-10.337022124202452,-105.92076282777249,4.5841656633604595,17,18.05784532643971
CN-Yan,3,-253.00675987200003,9.34232318783998,-29.15000904879776,-150.21167630247135,7.981742480430023,17,-223.85675082320228
CN-You,6,-143.53315797657598,8.61274767527999,-14.616877581752311,-91.37879285201558,1.5956840498248486,17,-128.91628039482367
CN-Yuc,9,-573.3888402116571,48.37461520558628,-70.1096704517124,-445.43119687842585,99.88209093467022,17,-503.2791697599447
CN-Zha,9,-650.1715627900008,48.830958206142554,-9.998999775782536,-79.96375829733819,0.7580199513348267,17,-640.1725630142183
