value,area_km2
-282.69999999999993,2971.6670189891206
-276.5,2964.6621163789823
-274.4,2978.4500115692904
-273.29999999999995,3046.271122412392
-270.29999999999995,2985.0106924381867
-259.79999999999995,2539.454725816864
-258.9,2978.4500115692904
-251.79999999999995,3072.460921920738
-249.29999999999995,5108.905144879029
-236.0999999999999,3042.4045120517503
-233.5999999999999,3076.565442249211
-232.5,3033.993340228081
-230.79999999999995,2778.706298919067
-228.29999999999995,2731.2637856573488
-228.0999999999999,2743.437134447754
-227.79999999999995,3024.679888117424
-227.19999999999993,2493.2958158830565
-219.79999999999995,3024.679888117424
-219,2790.0432785874327
-218.5,3033.993340228081
-211.69999999999993,3072.460921920738
-211.5999999999999,3064.7118114879686
-211.29999999999995,9053.837285487945
-211.0999999999999,3042.4045120517503
-205.19999999999993,3064.7118114879686
-204.19999999999993,2833.27547232901
-203.79999999999995,3042.4045120517503
-203.0999999999999,3009.0227492042236
-201.69999999999993,3074.9690713168334
-201.29999999999995,3046.271122412392
-199.0999999999999,3014.4663297179563
-196.39999999999998,2767.1591329698485
-195.89999999999998,2767.1591329698485
-194.5,2477.5244338667603
-193.89999999999998,2554.4525724395144
-193.5999999999999,2583.8596665654295
-191.39999999999998,7948.092822526214
-191.19999999999993,3029.4492683949584
-190.29999999999995,3073.82893772089
-188.69999999999993,3074.9690713168334
-187.89999999999998,3077.249666889143
-187.79999999999995,3024.679888117424
-187.69999999999993,6098.4908407089315
-187.0999999999999,3072.460921920738
-186.5,3046.271122412392
-186.19999999999993,3038.3118386238557
-185.89999999999998,3072.460921920738
-184.29999999999995,3003.355055536621
-183.69999999999993,3075.8812570091877
-182.89999999999998,2801.169367678528
-182.5,3073.82893772089
-180.5,3029.4492683949584
-180.39999999999998,6138.0870881631945
-180,3014.4663297179563
-179,3046.271122412392
-177.89999999999998,2706.296212044617
-177.69999999999993,3074.9690713168334
-177.5,3075.8812570091877
-177,3074.9690713168334
-175.79999999999995,3059.4726395989837
-175.69999999999993,2801.169367678528
-175.5999999999999,3064.7118114879686
-175.39999999999998,3076.565442249211
-174.69999999999993,6086.885719271431
-174.39999999999998,2942.320173995636
-174.29999999999995,3056.5123949250947
-174.0999999999999,3077.0215876315983
-174,3075.8812570091877
-173.79999999999995,3073.82893772089
-173.69999999999993,3049.911445006264
-173.39999999999998,3046.271122412392
-173.0999999999999,3070.8651027753717
-173,3072.460921920738
-172.79999999999995,2801.169367678528
-172.69999999999993,3073.82893772089
-170.5,3042.4045120517503
-170.39999999999998,5887.052948154113
-170.0999999999999,3076.565442249211
-169.5999999999999,6127.154206226185
-169.39999999999998,3009.0227492042236
-169.0999999999999,3073.82893772089
-168.5999999999999,3072.460921920738
-168.19999999999993,3074.9690713168334
-168.0999999999999,3003.355055536621
-168,3049.911445006264
-167.5,6122.152379421579
