site_id,status,old_file,new_file,old_size,new_size,old_sha256,new_sha256,old_years,new_years
DE-HoH,DIFFERS_SCATTERED,ICOS_DE-HoH_FLUXNET_FLUXMET_MM_2015-2024_v1.3_r1.csv,ICOS_DE-HoH_FLUXNET_FLUXMET_MM_2015-2025_v1.3_r1.csv,347467,381122,5be8069e60b78e34b1254f6063e9ffc7de4813f4e6cecd79b835e6cbbc40624e,11f764120819212db46a8e3c6bb78a41cecb8eff68131c1fc4c6fbfb30fd75ca,2015-2024,2015-2025
GL-ZaH,DIFFERS_MINOR,ICOS_GL-ZaH_FLUXNET_FLUXMET_MM_2020-2024_v1.3_r1.csv,ICOS_GL-ZaH_FLUXNET_FLUXMET_MM_2020-2025_v1.3_r1.csv,108656,128468,39585892cf3039db111260184d26a0e476e825f02f73e53917329a6a3fa29777,f3ea23a781cb232f25cc5b9e186c337cff352e6ed967deae94670ae690182d76,2020-2024,2020-2025
IT-Ren,DIFFERS_MINOR,ICOS_IT-Ren_FLUXNET_FLUXMET_MM_1999-2024_v1.3_r1.csv,ICOS_IT-Ren_FLUXNET_FLUXMET_MM_1999-2025_v1.3_r1.csv,840437,873228,066b292d09523575dcb94e77056d150cd2228792a14256b25eeece2375fd5d58,4f31be2ddbdd500179b6dd3e91e001387205ed3db7aa7b8afc50358a15900053,1999-2024,1999-2025
FR-Pue,DIFFERS_MINOR,ICOS_FR-Pue_FLUXNET_FLUXMET_MM_2000-2024_v1.3_r1.csv,ICOS_FR-Pue_FLUXNET_FLUXMET_MM_2000-2025_v1.3_r1.csv,838764,873506,ac433deae1483305b2f8f61e64ed07d35dc6fe39c8c06fec3b6d98f7076b02a9,6d70d858b7498365a38bd301f8304f4d9e67b660ab04611a56da7b5f18115758,2000-2024,2000-2025
FI-Let,DIFFERS_MINOR,ICOS_FI-Let_FLUXNET_FLUXMET_MM_2009-2024_v1.3_r1.csv,ICOS_FI-Let_FLUXNET_FLUXMET_MM_2010-2025_v1.3_r1.csv,520766,525587,0c2259afb415b3dcf1e924a6c786c48f4ec98a5b131eff3671615d2c7812da79,a8547634bdb8c5ae8a00df6952b516043a011ea5ff709784decfdf4baf6be861,2009-2024,2010-2025
IT-BCi,DIFFERS_SCATTERED,ICOS_IT-BCi_FLUXNET_FLUXMET_MM_2004-2024_v1.3_r1.csv,ICOS_IT-BCi_FLUXNET_FLUXMET_MM_2004-2025_v1.3_r1.csv,699785,734044,6b125e7af9dba55a84569a91d12d83f3d5c6dba1d5fdb9095c57fd36796df9b3,382d833cc1d4203cd2ffcfd8f155c2d69e9bf373e5cc3b234e1fecc5daa14468,2004-2024,2004-2025
DE-Fen,DIFFERS_MINOR,ICOS_DE-Fen_FLUXNET_FLUXMET_MM_2023-2024_v1.3_r1.csv,ICOS_DE-Fen_FLUXNET_FLUXMET_MM_2023-2025_v1.3_r1.csv,39302,93856,67bf4e66e28d77bc6d71d4c31b32780cd06ded51b0b5bfe16aa703c85e27323b,8677597d4dd285f92f42217ec47f5176b47b31d9062fab1d95ac00250a928f80,2023-2024,2023-2025
IT-Noe,DIFFERS_MINOR,ICOS_IT-Noe_FLUXNET_FLUXMET_MM_2022-2024_v1.3_r2.csv,ICOS_IT-Noe_FLUXNET_FLUXMET_MM_2022-2025_v1.3_r1.csv,96711,125757,6d02ff44bf6cebd9da07843f0b1f9a2508de6d5a7d2134fb25307f3a7d49fe83,ad1729c9c2d5f60001d180ae08af11f871faffa2a687ac3ddc0f119aac2e7a69,2022-2024,2022-2025
SE-Svb,DIFFERS_SCATTERED,ICOS_SE-Svb_FLUXNET_FLUXMET_MM_2014-2024_v1.3_r1.csv,ICOS_SE-Svb_FLUXNET_FLUXMET_MM_2014-2025_v1.3_r1.csv,369453,396331,38e0b3f4a4946ceab2265aa39e10c220b32a82068f55385bd9898bf8a27a0ce1,08b687f610008c3c9f36426f654beb4898b040ea7fd22906b9f90cdf88d34dd0,2014-2024,2014-2025
CD-Ygb,DIFFERS_MINOR,ICOS_CD-Ygb_FLUXNET_FLUXMET_MM_2020-2024_v1.3_r1.csv,ICOS_CD-Ygb_FLUXNET_FLUXMET_MM_2020-2025_v1.3_r1.csv,152563,184329,f56db5d991c1427302b2028831db999fef74a03ce786f4aab2ceeaa08ce75f18,405cce61753457c7e2f2ce095b9e5a5391e7c9e71162dcc7090849f7376fd0d6,2020-2024,2020-2025
ES-LMa,DIFFERS_MINOR,ICOS_ES-LMa_FLUXNET_FLUXMET_MM_2020-2024_v1.3_r1.csv,ICOS_ES-LMa_FLUXNET_FLUXMET_MM_2020-2025_v1.3_r1.csv,166230,200437,7148355a20e18c1acc8edf3be3d4bdf6c6c44c94dbf659fc09decd972dc466d9,92c5a40749b3ec9507012e7491d3cc59510279e276747436d6741f6ad75d6d9c,2020-2024,2020-2025
DE-Brs,DIFFERS_MINOR,ICOS_DE-Brs_FLUXNET_FLUXMET_MM_2023-2024_v1.3_r1.csv,ICOS_DE-Brs_FLUXNET_FLUXMET_MM_2023-2025_v1.3_r1.csv,38062,93372,6291e5d8363e3ff05baca7a1b51d410a382d76c839444be384346ab493d411a1,8ef1eb1a16464b670ed8ef2e363720459de266b0573260f7b05a36492764600b,2023-2024,2023-2025
DE-Har,DIFFERS_MINOR,ICOS_DE-Har_FLUXNET_FLUXMET_MM_2020-2024_v1.3_r1.csv,ICOS_DE-Har_FLUXNET_FLUXMET_MM_2020-2025_v1.3_r1.csv,169822,201753,6d5f4cdb06b5b9babb1b3fa3c43c2bbba68d5b1463085adc20ffe9ec6885216e,5ce63e068bf7ca40868ca9a2698f84b9e896fc8979bfec0cbd31063099f7c38f,2020-2024,2020-2025
IT-Lsn,DIFFERS_MINOR,ICOS_IT-Lsn_FLUXNET_FLUXMET_MM_2016-2024_v1.3_r1.csv,ICOS_IT-Lsn_FLUXNET_FLUXMET_MM_2016-2025_v1.3_r1.csv,288699,320588,10c27b7cfce1b8b21ddb96f2ad0ff790a314d7feddbe27ad423ee30c2c4191c4,0923e14e1cc1bd55d6668f288cebdc172c3f5f78804b6ee3a40bca44fe349400,2016-2024,2016-2025
US-HB4,IDENTICAL,AMF_US-HB4_FLUXNET_FLUXMET_MM_2020-2024_v1.3_r1.csv,AMF_US-HB4_FLUXNET_FLUXMET_MM_2020-2024_v1.3_r1.csv,159205,159205,289df593cbd9cd2c72f251864ec9322d055af503641e3b2f5614b04ea511dc79,289df593cbd9cd2c72f251864ec9322d055af503641e3b2f5614b04ea511dc79,2020-2024,2020-2024
US-PFL,IDENTICAL,AMF_US-PFL_FLUXNET_FLUXMET_MM_2019-2019_v1.3_r1.csv,AMF_US-PFL_FLUXNET_FLUXMET_MM_2019-2019_v1.3_r1.csv,19602,19602,cf4a39317031156714bdcebce55e7e65da5cb67871ba284296c8e39a57557e6f,cf4a39317031156714bdcebce55e7e65da5cb67871ba284296c8e39a57557e6f,2019-2019,2019-2019
US-PFb,IDENTICAL,AMF_US-PFb_FLUXNET_FLUXMET_MM_2019-2019_v1.3_r1.csv,AMF_US-PFb_FLUXNET_FLUXMET_MM_2019-2019_v1.3_r1.csv,19730,19730,c38b679188772e949bfcf6165ce6fb27b8352a544cdf42f70eb77e3d6b247ec9,c38b679188772e949bfcf6165ce6fb27b8352a544cdf42f70eb77e3d6b247ec9,2019-2019,2019-2019
US-KS2,IDENTICAL,AMF_US-KS2_FLUXNET_FLUXMET_MM_2003-2006_v1.3_r1.csv,AMF_US-KS2_FLUXNET_FLUXMET_MM_2003-2006_v1.3_r1.csv,125444,125444,4aed8ff438cc99d827114d0be12cdf7f8355ae405a8c6ddf58ef94f4ca5001b3,4aed8ff438cc99d827114d0be12cdf7f8355ae405a8c6ddf58ef94f4ca5001b3,2003-2006,2003-2006
CA-MA3,IDENTICAL,AMF_CA-MA3_FLUXNET_FLUXMET_MM_2009-2011_v1.3_r1.csv,AMF_CA-MA3_FLUXNET_FLUXMET_MM_2009-2011_v1.3_r1.csv,94964,94964,7ece50215be3e7fb6ecc5f4d993fe6c212a1043e01c002e64e680a7476b8a622,7ece50215be3e7fb6ecc5f4d993fe6c212a1043e01c002e64e680a7476b8a622,2009-2011,2009-2011
US-UTJ,IDENTICAL,AMF_US-UTJ_FLUXNET_FLUXMET_MM_2024-2025_v1.3_r1.csv,AMF_US-UTJ_FLUXNET_FLUXMET_MM_2024-2025_v1.3_r1.csv,43052,43052,7c92175c50172cf7a3a959a5618bfb96d755afb2361523ad17c6039f68757f17,7c92175c50172cf7a3a959a5618bfb96d755afb2361523ad17c6039f68757f17,2024-2025,2024-2025
AU-TTE,IDENTICAL,TERN_AU-TTE_FLUXNET_FLUXMET_MM_2012-2025_v1.3_r1.csv,TERN_AU-TTE_FLUXNET_FLUXMET_MM_2012-2025_v1.3_r1.csv,298324,298324,9456c6f8b53a05f80df43c6e0b7689565549239f40563ffec118e5d08ba13dc7,9456c6f8b53a05f80df43c6e0b7689565549239f40563ffec118e5d08ba13dc7,2012-2025,2012-2025
NZ-Cla,IDENTICAL,TERN_NZ-Cla_FLUXNET_FLUXMET_MM_2022-2025_v1.3_r1.csv,TERN_NZ-Cla_FLUXNET_FLUXMET_MM_2022-2025_v1.3_r1.csv,118380,118380,c5217ddcd9df18a0c04ef22c1746b98fc59b4193159b3be18c349a6c0609cc6a,c5217ddcd9df18a0c04ef22c1746b98fc59b4193159b3be18c349a6c0609cc6a,2022-2025,2022-2025
AU-Wac,IDENTICAL,TERN_AU-Wac_FLUXNET_FLUXMET_MM_2005-2008_v1.3_r1.csv,TERN_AU-Wac_FLUXNET_FLUXMET_MM_2005-2008_v1.3_r1.csv,121940,121940,15fce4735f3a73f8afc0d2a7b9d6697b01be94ac084fb296d36224d8d0acd642,15fce4735f3a73f8afc0d2a7b9d6697b01be94ac084fb296d36224d8d0acd642,2005-2008,2005-2008
AU-DaP,IDENTICAL,TERN_AU-DaP_FLUXNET_FLUXMET_MM_2008-2013_v1.3_r1.csv,TERN_AU-DaP_FLUXNET_FLUXMET_MM_2008-2013_v1.3_r1.csv,179998,179998,f06e0bf398c986ae2407eb9d2059d22e3bce32b24f3313755a448d6b91fb2e84,f06e0bf398c986ae2407eb9d2059d22e3bce32b24f3313755a448d6b91fb2e84,2008-2013,2008-2013
AU-Ctr,IDENTICAL,TERN_AU-Ctr_FLUXNET_FLUXMET_MM_2010-2018_v1.3_r1.csv,TERN_AU-Ctr_FLUXNET_FLUXMET_MM_2010-2018_v1.3_r1.csv,260657,260657,b397970ad675845046161d0585dbfa31a31812241660a14e2e2dcdaaa3e68add,b397970ad675845046161d0585dbfa31a31812241660a14e2e2dcdaaa3e68add,2010-2018,2010-2018
JP-Tkb,IDENTICAL,JPF_JP-Tkb_FLUXNET_FLUXMET_MM_2018-2019_v1.3_r1.csv,JPF_JP-Tkb_FLUXNET_FLUXMET_MM_2018-2019_v1.3_r1.csv,35772,35772,e76d59abbc861e5491945cabc17a81483d5cd8ff2eb4c63048d8799df28e2d1f,e76d59abbc861e5491945cabc17a81483d5cd8ff2eb4c63048d8799df28e2d1f,2018-2019,2018-2019
IT-Lav,IDENTICAL,EUF_IT-Lav_FLUXNET_FLUXMET_MM_2003-2020_v1.3_r1.csv,EUF_IT-Lav_FLUXNET_FLUXMET_MM_2003-2020_v1.3_r1.csv,573650,573650,bacc2e2c20fd44265a8f17a8baf2a83044da83f633df8fe20029c6c023a4b8b7,bacc2e2c20fd44265a8f17a8baf2a83044da83f633df8fe20029c6c023a4b8b7,2003-2020,2003-2020
KR-AdC,IDENTICAL,KOF_KR-AdC_FLUXNET_FLUXMET_MM_2015-2018_v1.3_r1.csv,KOF_KR-AdC_FLUXNET_FLUXMET_MM_2015-2018_v1.3_r1.csv,126226,126226,d493d8f3e8aa687aa5640f2fd60f35683c752acdda5569cd2bff39f056d727b7,d493d8f3e8aa687aa5640f2fd60f35683c752acdda5569cd2bff39f056d727b7,2015-2018,2015-2018
ES-Mzn,IDENTICAL,EUF_ES-Mzn_FLUXNET_FLUXMET_MM_2023-2024_v1.3_r1.csv,EUF_ES-Mzn_FLUXNET_FLUXMET_MM_2023-2024_v1.3_r1.csv,37641,37641,5d7c54a07a35aa014f8c04ac310acd703e2969d02e2a81e1b85f95d69904c574,5d7c54a07a35aa014f8c04ac310acd703e2969d02e2a81e1b85f95d69904c574,2023-2024,2023-2024
BE-Lcr,IDENTICAL,EUF_BE-Lcr_FLUXNET_FLUXMET_MM_2019-2022_v1.3_r1.csv,EUF_BE-Lcr_FLUXNET_FLUXMET_MM_2019-2022_v1.3_r1.csv,138040,138040,10104957b916798a7f726fc566a5b57c621712202fda61f82035565d58978153,10104957b916798a7f726fc566a5b57c621712202fda61f82035565d58978153,2019-2022,2019-2022
IT-MBo,DIFFERS_UNIFORM,ICOS_IT-MBo_FLUXNET_FLUXMET_MM_2003-2024_v1.3_r1.csv,ICOS_IT-MBo_FLUXNET_FLUXMET_MM_2003-2025_v1.3_r1.csv,712507,747140,6d2a4318a40d54902ce7e80bbfe6d3c707ea9c033e4619f2c23bb9ffcf7533d2,b44a360e9dc9ce404512193e39f712bab0a702e5af17af8131a2469ae52d44f8,2003-2024,2003-2025
FI-Hyy,DIFFERS_MINOR,ICOS_FI-Hyy_FLUXNET_FLUXMET_MM_1997-2024_v1.3_r1.csv,ICOS_FI-Hyy_FLUXNET_FLUXMET_MM_1997-2025_v1.3_r1.csv,938230,971835,3391d13cd44ee1229982d1ba2600a4b9f8a84691f7ed36511c168db93a59334b,a32db985185e4a4fb3b7de8d1afeeda231561e8dbaa5d9ce0c37e0a8d7da9619,1997-2024,1997-2025
GF-Guy,DIFFERS_SCATTERED,ICOS_GF-Guy_FLUXNET_FLUXMET_MM_2017-2024_v1.3_r1.csv,ICOS_GF-Guy_FLUXNET_FLUXMET_MM_2004-2025_v1.3_r1.csv,245300,660237,332e287a4cf1d8e782c873f8baaea2a82e1743b4be5b1ad3e917639a2eb558f0,5c6ec000d2859381e6975ea59f305b2736a7561f56b350e3311f1466d1a67969,2017-2024,2004-2025
IE-Cra,DIFFERS_MINOR,ICOS_IE-Cra_FLUXNET_FLUXMET_MM_2020-2024_v1.3_r1.csv,ICOS_IE-Cra_FLUXNET_FLUXMET_MM_2020-2025_v1.3_r1.csv,98925,165027,f73d98f038cfcaf8c78020179f577e133c97822b9c02bd61d3a7372ee881ce6b,91449244d113a92be98cda91e83eba453bd6289d09f3435befcac277d123d449,2020-2024,2020-2025
DE-Hzd,DIFFERS_MINOR,ICOS_DE-Hzd_FLUXNET_FLUXMET_MM_2022-2024_v1.3_r1.csv,ICOS_DE-Hzd_FLUXNET_FLUXMET_MM_2010-2025_v1.3_r1.csv,105387,457219,215e42225f71b3ec743d0644a038ae800c124c221ad66bf913bcc71a7911555b,1ff692dfa65e2c50e2e926bde481f3af679fb34c43d66c22ff95ebdca18ae705,2022-2024,2010-2025
