site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id,factor_estimate,n_refs,nearest_cluster,group,was_in_original_26,kg_class_current,currently_classified,temporal_resolution,location_lat,location_long,n_months_qc_ge_0.9,has_measured_precip,factor_applied,map_era5_corrected,n_genuine_months,map_gauge,has_gauge,ratio_corrected_to_gauge
JP-Fmt,30,5939.7142,7,5984.813,84,16.36345238095238,5984.813,84,84,0,1516,1643,TRUE,3.9180172823219,0.9924644596247202,0.9924644596247202,3.6151638466220337,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Fmt_FLUXNET_2014-2023_v1.3_r1.zip,eWDbJgVovrhZWWNoXdZwB1GA,3.766590564471967,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,35.638744,139.37975,0,FALSE,4,1484.92855,NA,NA,FALSE,NA
JP-Hc2,30,4683.106866666667,2,5811.468500000001,24,15.84525,5811.4685,24,24,0,1427,1037,FALSE,3.2817847699135716,0.8058388110796206,0.8058388110796207,4.516014336226294,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Hc2_FLUXNET_2003-2004_v1.3_r1.zip,Tjd4S1VJ4LO2w5OrXE1eWhYl,3.898899553069933,2,4,clustered_4x_8x,FALSE,Cfa,TRUE,HH,34.537518,133.92755,0,FALSE,4,1170.7767166666667,NA,NA,FALSE,NA
JP-Hc3,30,4683.106866666667,4,4058.605,48,11.11025,4058.605,48,48,0,1423,1037,FALSE,3.2910097446708835,1.1538710632512077,1.1538710632512077,4.516014336226294,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Hc3_FLUXNET_2005-2008_v1.3_r1.zip,7mRmcdv3o0cDwldpdIkzLgqj,3.903512040448589,2,4,clustered_4x_8x,FALSE,Cfa,TRUE,HH,34.539673,133.91173,0,FALSE,4,1170.7767166666667,NA,NA,FALSE,NA
JP-Kzw,30,5583.8523,8,5463.0313750000005,96,14.91265625,5463.0313750000005,96,96,0,1589,1198,TRUE,3.5140668974197604,1.0221160957546211,1.0221160957546211,4.660978547579298,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Kzw_FLUXNET_2001-2008_v1.3_r1.zip,heCzGI50bl4F9zNueG7UvN3S,4.087522722499529,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,36.406788,138.57257,0,FALSE,4,1395.963075,NA,NA,FALSE,NA
JP-MBF,30,5175.140933333333,8,5058.79775,96,13.842854166666667,5058.79775,96,96,0,1174,NA,TRUE,4.408126859738784,1.0229981883211945,1.0229981883211945,NA,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-MBF_FLUXNET_2004-2011_v1.3_r1.zip,dP1aRNVfrf316N-6GTejUbIk,4.408126859738784,1,4,clustered_4x_8x,TRUE,NA,FALSE,HH,44.38406,142.31862,0,FALSE,4,1293.7852333333333,NA,NA,FALSE,NA
JP-Mse,30,5187.7739,8,5331.1407500000005,96,14.547739583333334,5331.1407500000005,96,96,0,1307,1200,TRUE,3.969222570772762,0.9731076599318822,0.9731076599318822,4.323144916666667,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Mse_FLUXNET_2002-2009_v1.3_r1.zip,496cflc8MbepzdjJvLU5v4cg,4.146183743719715,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,36.05393,140.02693,0,FALSE,4,1296.943475,NA,NA,FALSE,NA
JP-Nkm,30,8195.526133333333,3,9287.887,36,25.331583333333334,9287.887,36,36,0,1951,NA,TRUE,4.200679719801811,0.8823886566808288,0.8823886566808288,NA,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Nkm_FLUXNET_2018-2024_v1.3_r1.zip,jQlGe7FF-AoWrmDdvmU4gojQ,4.200679719801811,1,4,clustered_4x_8x,TRUE,NA,FALSE,NA,35.808064,137.83388,0,FALSE,4,2048.881533333333,NA,NA,FALSE,NA
JP-Om2,30,5337.641,NA,NA,NA,NA,NA,NA,NA,NA,1372,1206.9,TRUE,3.89040889212828,NA,NA,4.422604192559449,TRUE,FALSE,ICOS,JPF,v1.3,JPF_JP-Om2_FLUXNET_2022-2025_v1.3_r1.zip,1LRw8IWf3BDKYACdAj8ouheV,4.156506542343864,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,34.542454,135.50822,NA,FALSE,4,1334.41025,NA,NA,FALSE,NA
JP-Sb1,30,4275.823066666667,4,4125.77,48,11.293416666666666,4125.77,48,48,0,1125,1073,FALSE,3.800731614814815,1.0363697119971949,1.0363697119971949,3.9849236408822617,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Sb1_FLUXNET_2007-2010_v1.3_r1.zip,jOdJ40q12wURBzPC91Zd1Nrx,3.892827627848538,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,45.104702,141.68797,0,FALSE,4,1068.9557666666667,NA,NA,FALSE,NA
JP-Sb2,30,4275.823066666667,4,4125.77,48,11.293416666666666,4125.77,48,48,0,1125,1073,FALSE,3.800731614814815,1.0363697119971949,1.0363697119971949,3.9849236408822617,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Sb2_FLUXNET_2007-2010_v1.3_r1.zip,Pxix-JtRatuGLAPdOuOHUdzr,3.892827627848538,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,45.10339,141.6808,0,FALSE,4,1068.9557666666667,NA,NA,FALSE,NA
JP-Shn,30,6020.625366666666,7,6166.103428571429,84,16.847285714285714,6166.103428571429,84,84,0,1340,1606,TRUE,4.493004004975124,0.9764068080287672,0.9764068080287672,3.748832731423827,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Shn_FLUXNET_2014-2020_v1.3_r1.zip,2odGxi9yoGlFUuRSPP0IvuyH,4.120918368199476,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,35.865753,137.93256,0,FALSE,4,1505.1563416666665,NA,NA,FALSE,NA
JP-Tak,30,8803.888466666667,23,8833.035347826088,276,24.14932608695652,8833.035347826086,276,276,0,1804,2275,TRUE,4.880204249815225,0.99670024176156,0.9967002417615602,3.8698410842490847,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Tak_FLUXNET_1998-2021_v1.3_r1.zip,3ISWj-Lz0wAZ7bHcl0axSoWX,4.375022667032155,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,36.146168,137.42311,0,FALSE,4,2200.972116666667,NA,NA,FALSE,NA
JP-Tkb,30,5411.865833333333,2,5407.7605,24,14.768958333333334,5407.7605,24,24,0,1353,1507,TRUE,3.99990083764474,1.000759155908131,1.000759155908131,3.5911518469365182,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Tkb_FLUXNET_2018-2019_v1.3_r1.zip,DJQ3QbfTvEPAp9g4mpyX5ABJ,3.79552634229063,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,36.173378,140.17664,0,FALSE,4,1352.9664583333333,NA,NA,FALSE,NA
JP-Tmd,30,4656.8277,16,4703.30025,192,12.849973958333331,4703.30025,192,192,0,1206,1276,FALSE,3.861382835820895,0.9901191615398144,0.9901191615398144,3.649551489028213,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Tmd_FLUXNET_2005-2023_v1.3_r1.zip,0o-e7G4yJgKYUrpjjLe7w0lt,3.755467162424554,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,42.735912,141.52315,0,FALSE,4,1164.206925,NA,NA,FALSE,NA
JP-Tmk,30,4656.8277,3,4304.846,36,11.744055555555557,4304.846,36,36,0,1206,1043,FALSE,3.861382835820895,1.0817640631046963,1.0817640631046963,4.464839597315436,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Tmk_FLUXNET_2001-2003_v1.3_r1.zip,bCOHeAK5zPgbC1DQddUjFOlA,4.163111216568165,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,42.739307,141.51483,0,FALSE,4,1164.206925,NA,NA,FALSE,NA
JP-Toc,30,4656.831833333334,4,4920.8515,48,13.452125,4920.851500000001,48,48,0,1189,1130,FALSE,3.9165953181945614,0.946346751844337,0.9463467518443368,4.1210901179941,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Toc_FLUXNET_2011-2014_v1.3_r1.zip,RweHalPjm2fLhREAqrL5xXXr,4.018842718094331,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,42.70973,141.5659,0,FALSE,4,1164.2079583333334,NA,NA,FALSE,NA
JP-Yms,30,4913.387,21,4981.978476190476,252,13.623777777777777,4981.978476190476,252,252,0,1502,1095,TRUE,3.2712296937416774,0.9862320809858406,0.9862320809858406,4.4871114155251135,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-Yms_FLUXNET_2000-2023_v1.3_r1.zip,fI4RJEyaI5ASWeYLUEHZddaP,3.879170554633395,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,34.79028,135.84094,0,FALSE,4,1228.34675,NA,NA,FALSE,NA
KH-Kmp,30,6637.125233333333,4,6804.428,48,18.571833333333338,6804.428,48,48,0,1714,1500,TRUE,3.872301769739401,0.975412662656337,0.975412662656337,4.4247501555555555,FALSE,FALSE,ICOS,JPF,v1.3,JPF_KH-Kmp_FLUXNET_2011-2014_v1.3_r1.zip,7HZxy0gTRodMZnmJU6ak4vHi,4.148525962647478,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,12.744579,105.47857,0,FALSE,4,1659.2813083333333,NA,NA,FALSE,NA
KR-Hnm,30,4536.481366666667,4,4567.523999999999,48,12.487354166666666,4567.524,48,48,0,1307,1282,FALSE,3.4709115276715123,0.9932036189994112,0.9932036189994112,3.5385970098803954,FALSE,FALSE,ICOS,KOF,v1.3,KOF_KR-Hnm_FLUXNET_2016-2019_v1.3_r1.zip,6juxi14AX0CYmbd3rABrd8Qg,3.5047542687759536,2,4,clustered_4x_8x,FALSE,Cfa,TRUE,HH,34.5538,126.56992,0,FALSE,4,1134.1203416666667,NA,NA,FALSE,NA
KR-Nj1,30,4503.488766666666,NA,NA,NA,NA,NA,NA,NA,NA,1306,1310.4,FALSE,3.4483068657478304,NA,NA,3.4367283017908012,TRUE,FALSE,ICOS,KOF,v1.3,KOF_KR-Nj1_FLUXNET_2023-2024_v1.3_r1.zip,ho-3zaqsi4UTaFuVjoKo6tcK,3.442517583769316,2,4,clustered_4x_8x,FALSE,Cfa,TRUE,HH,35.02753,126.82093,NA,FALSE,4,1125.8721916666666,NA,NA,FALSE,NA
KR-Nj2,30,4503.488766666666,NA,NA,NA,NA,NA,NA,NA,NA,1306,1310.4,FALSE,3.4483068657478304,NA,NA,3.4367283017908012,TRUE,FALSE,ICOS,KOF,v1.3,KOF_KR-Nj2_FLUXNET_2023-2024_v1.3_r1.zip,o9_1GTQfYPO5QensOTM6NVIz,3.442517583769316,2,4,clustered_4x_8x,FALSE,Cfa,TRUE,HH,35.0269,126.8219,NA,FALSE,4,1125.8721916666666,NA,NA,FALSE,NA
KR-TwB,30,4529.786033333333,NA,NA,NA,NA,NA,NA,NA,NA,1318,1313,FALSE,3.4368634547293877,NA,NA,3.449951282051282,TRUE,FALSE,ICOS,KOF,v1.3,KOF_KR-TwB_FLUXNET_2024-2024_v1.3_r1.zip,mgAw4w8tckxD-oe0sc6ng63R,3.443407368390335,2,4,clustered_4x_8x,FALSE,Dwa,TRUE,HH,37.30406,127.31395,NA,FALSE,4,1132.4465083333332,NA,NA,FALSE,NA
KR-TwC,30,4529.786033333333,NA,NA,NA,NA,NA,NA,NA,NA,1318,1313,FALSE,3.4368634547293877,NA,NA,3.449951282051282,TRUE,FALSE,ICOS,KOF,v1.3,KOF_KR-TwC_FLUXNET_2024-2024_v1.3_r1.zip,GrvLMNKKbTTAaT6auJyS_xJj,3.443407368390335,2,4,clustered_4x_8x,FALSE,Dwa,TRUE,HH,37.30493,127.31743,NA,FALSE,4,1132.4465083333332,NA,NA,FALSE,NA
NO-And,30,9318.330766666666,7,8593.799285714285,55,23.558836363636363,8600.359636363635,84,55,0.34523809523809523,1202,1060,TRUE,7.752355047143649,1.0843086342680577,1.0834815241059617,8.790878081761006,FALSE,FALSE,ICOS,EUF,v1.3,EUF_NO-And_FLUXNET_2008-2014_v1.3_r1.zip,KkqfRlPbN-GjF2nQXq4edZ6A,8.271616564452327,2,8,clustered_4x_8x,TRUE,NA,FALSE,HH,69.1422,16.01975,28,TRUE,8,1164.7913458333333,28,287.2838571428572,TRUE,4.054496334801434
PE-QFR,30,10291.840033333334,3,10147.889,36,27.749777777777776,10147.889,36,36,0,2705,NA,TRUE,3.804746777572397,1.0141853180827396,1.0141853180827396,NA,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_PE-QFR_FLUXNET_2018-2022_v1.3_r1.zip,10.17190/AMF/1832157,3.804746777572397,1,4,clustered_4x_8x,TRUE,NA,FALSE,HH,-3.8344,-73.319,0,FALSE,4,2572.9600083333335,NA,NA,FALSE,NA
RU-Ege,30,1349.8303666666666,9,1366.6536666666666,108,3.727046296296297,1366.6536666666666,108,108,0,324,312,FALSE,4.166143106995884,0.9876901511989992,0.9876901511989992,4.32637938034188,FALSE,FALSE,ICOS,JPF,v1.3,JPF_RU-Ege_FLUXNET_2010-2018_v1.3_r1.zip,b5nU8v8vNcUd71xRKtWQdbLl,4.246261243668882,2,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,60.015514,133.824,0,FALSE,4,337.45759166666664,NA,NA,FALSE,NA
RU-NeB,30,1069.2168666666666,2,1152.977,24,3.1450833333333335,1152.977,24,24,0,253,235,FALSE,4.226153623188406,0.9273531620029426,0.9273531620029424,4.5498590070921985,FALSE,FALSE,ICOS,JPF,v1.3,JPF_RU-NeB_FLUXNET_1999-2000_v1.3_r1.zip,62X8tlaZVNU1oh_okQKPco3F,4.388006315140302,2,4,clustered_4x_8x,FALSE,Dfd,TRUE,HH,62.325935,129.48734,0,FALSE,4,267.30421666666666,NA,NA,FALSE,NA
RU-NeC,30,1069.2168666666666,6,1079.1725,72,2.9415416666666667,1079.1725,72,72,0,256,235,FALSE,4.176628385416667,0.9907747525689048,0.9907747525689048,4.5498590070921985,FALSE,FALSE,ICOS,JPF,v1.3,JPF_RU-NeC_FLUXNET_2001-2006_v1.3_r1.zip,BGkXJsSt5UVy1vDEw7Z30_7v,4.3632436962544325,2,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,62.314842,129.50008,0,FALSE,4,267.30421666666666,NA,NA,FALSE,NA
RU-NeF,30,1069.2168666666666,7,1081.135142857143,84,2.946964285714286,1081.135142857143,84,84,0,253,235,FALSE,4.226153623188406,0.9889761457952616,0.9889761457952616,4.5498590070921985,FALSE,FALSE,ICOS,JPF,v1.3,JPF_RU-NeF_FLUXNET_2000-2006_v1.3_r1.zip,MTJpX3fgVsWfWNXaw59q41td,4.388006315140302,2,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,62.315617,129.49997,0,FALSE,4,267.30421666666666,NA,NA,FALSE,NA
RU-Sk2,30,1018.6925,5,1178.1612,60,3.207683333333333,1178.1612,60,60,0,246,NA,FALSE,4.141026422764227,0.8646461112452184,0.8646461112452184,NA,FALSE,FALSE,ICOS,JPF,v1.3,JPF_RU-Sk2_FLUXNET_2004-2008_v1.3_r1.zip,gHfX6bXPIDHzHbwVE7gWolFT,4.141026422764227,1,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,62.241356,129.65047,0,FALSE,4,254.673125,NA,NA,FALSE,NA
RU-SkP,30,1069.2126666666666,11,1132.407,132,3.084348484848485,1132.407,132,132,0,252,NA,FALSE,4.242907407407407,0.9441946814764184,0.9441946814764184,NA,FALSE,FALSE,ICOS,JPF,v1.3,JPF_RU-SkP_FLUXNET_2004-2014_v1.3_r1.zip,EQli39tXbluFl81vRolYNGMQ,4.242907407407407,1,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,62.25471,129.61855,0,FALSE,4,267.30316666666664,NA,NA,FALSE,NA
SE-Trb,30,2565.8849,NA,NA,NA,NA,NA,NA,NA,NA,630,635,FALSE,4.072833174603175,NA,NA,4.040763622047244,TRUE,FALSE,ICOS,EUF,v1.3,EUF_SE-Trb_FLUXNET_2021-2023_v1.3_r1.zip,zZioWvKJVU9_vq3xFG9pr7F7,4.05679839832521,2,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,64.180916,19.837284,NA,FALSE,4,641.471225,NA,NA,FALSE,NA
US-A03,30,904.299,6,1018.0738333333334,72,2.7832916666666665,1018.0738333333334,72,72,0,146,115.1,FALSE,6.1938287671232874,0.8882450077703925,0.8882450077703925,7.856637706342311,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-A03_FLUXNET_2015-2021_v1.3_r1.zip,10.17190/AMF/3365269,7.025233236732799,2,8,clustered_4x_8x,FALSE,ET,TRUE,HH,70.4953,-149.8823,0,FALSE,8,113.037375,NA,NA,FALSE,NA
US-A10,30,914.8648666666668,10,997.0671,120,2.724858333333333,997.0671,120,120,0,107,115.1,FALSE,8.550138940809969,0.9175559665609936,0.9175559665609936,7.948434984071822,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-A10_FLUXNET_2011-2022_v1.3_r1.zip,10.17190/AMF/3025776,8.249286962440895,2,8,clustered_4x_8x,FALSE,ET,TRUE,HH,71.3242,-156.6149,0,FALSE,8,114.35810833333335,NA,NA,FALSE,NA
US-BRG,30,4220.8321,4,4770.3625,47,13.16927659574468,4801.646553191489,48,47,0.02083333333333337,1103,1200,FALSE,3.826683680870353,0.8848032198810886,0.8790384825793889,3.517360083333333,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-BRG_FLUXNET_2017-2020_v1.3_r1.zip,10.17190/AMF/2006970,3.672021882101843,2,4,clustered_4x_8x,FALSE,Dfa,TRUE,HH,39.2167,-86.5406,0,FALSE,4,1055.208025,NA,NA,FALSE,NA
US-CS2,30,3231.0546666666664,3,3884.349,36,10.632722222222222,3884.349,36,36,0,809,830,FALSE,3.99388710341986,0.8318136878706487,0.8318136878706488,3.892836947791164,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-CS2_FLUXNET_2018-2022_v1.3_r1.zip,10.17190/AMF/1881577,3.943362025605512,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,44.1467,-89.5002,0,FALSE,4,807.7636666666666,NA,NA,FALSE,NA
US-DFK,30,3277.5183666666667,3,4042.7933333333335,36,11.068888888888887,4042.793333333333,36,36,0,799,787,FALSE,4.102025490196079,0.8107063845295085,0.8107063845295085,4.164572257518,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-DFK_FLUXNET_2018-2020_v1.3_r1.zip,10.17190/AMF/2571122,4.13329887385704,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,43.3453,-89.7154,0,FALSE,4,819.3795916666667,NA,NA,FALSE,NA
US-DS1,30,1578.2313333333334,2,1851.09,6,5.083,1871.432,24,6,0.75,392,432,FALSE,4.026100340136055,0.8525956778618723,0.8433281750730636,3.6533132716049384,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-DS1_FLUXNET_2018-2019_v1.3_r1.zip,10.17190/AMF/2571132,3.8397068058704966,2,4,clustered_4x_8x,FALSE,Csb,TRUE,HH,38.1335,-121.539,15,TRUE,4,394.55783333333335,15,59.601600000000005,TRUE,6.619920158742942
US-DS2,30,1542.8013666666666,1,661.097,2,1.5395,572.418,12,2,0.8333333333333334,392,432,FALSE,3.935717772108843,2.3336989377756465,2.6952355912404338,3.571299459876543,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-DS2_FLUXNET_2020-2023_v1.3_r1.zip,10.17190/AMF/2571148,3.753508615992693,2,4,clustered_4x_8x,FALSE,Csb,TRUE,HH,38.1375,-121.514,8,TRUE,4,385.70034166666665,8,20.4375,TRUE,18.872187971457695
US-HBK,30,4481.9504,5,4457.7108,60,12.204816666666666,4457.7108,60,60,0,1152,1400,FALSE,3.890581944444444,1.0054376789090935,1.0054376789090935,3.2013931428571425,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-HBK_FLUXNET_2016-2024_v1.3_r1.zip,10.17190/AMF/3027326,3.545987543650793,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,43.9397,-71.7181,0,FALSE,4,1120.4876,NA,NA,FALSE,NA
US-HVs,30,1515.1631666666667,1,1669.291,12,4.5713333333333335,1669.2910000000002,12,12,0,196,217,FALSE,7.7304243197278915,0.9076686848887742,0.907668684888774,6.982318740399386,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-HVs_FLUXNET_1995-1995_v1.3_r1.zip,10.17190/AMF/2571115,7.3563715300636385,2,8,clustered_4x_8x,FALSE,Dfc,TRUE,HH,69.1672,-148.8569,0,FALSE,8,189.39539583333334,NA,NA,FALSE,NA
US-IAB,30,3589.859733333333,2,3525.6659999999997,24,9.637208333333334,3525.666,24,24,0,849,912,FALSE,4.228338908519827,1.0182075481152593,1.018207548115259,3.936249707602339,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-IAB_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/3027372,4.082294308061083,2,4,clustered_4x_8x,FALSE,Dfa,TRUE,HH,42.0001,-93.7016,0,FALSE,4,897.4649333333333,NA,NA,FALSE,NA
US-IAC,30,3589.859733333333,2,3525.6659999999997,24,9.637208333333334,3525.666,24,24,0,851,912,FALSE,4.218401566784175,1.0182075481152593,1.018207548115259,3.936249707602339,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-IAC_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/3027373,4.077325637193257,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,41.9984,-93.7016,0,FALSE,4,897.4649333333333,NA,NA,FALSE,NA
US-IAM,30,3589.859733333333,2,3525.6659999999997,24,9.637208333333334,3525.666,24,24,0,851,912,FALSE,4.218401566784175,1.0182075481152593,1.018207548115259,3.936249707602339,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-IAM_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/3027366,4.077325637193257,2,4,clustered_4x_8x,FALSE,Dfa,TRUE,HH,41.9994,-93.7042,0,FALSE,4,897.4649333333333,NA,NA,FALSE,NA
US-MBP,30,2870.626166666667,12,2830.692,144,7.727319444444444,2830.692,144,144,0,695,780,FALSE,4.130397362110312,1.014107563333159,1.014107563333159,3.6802899572649577,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-MBP_FLUXNET_2009-2024_v1.3_r1.zip,10.17190/AMF/3027340,3.9053436596876345,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,47.5051,-93.4893,0,FALSE,4,717.6565416666667,NA,NA,FALSE,NA
US-Me7,30,2553.5444666666667,NA,NA,NA,NA,NA,NA,NA,NA,821,523,FALSE,3.110285586682907,NA,NA,4.88249420012747,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-Me7_FLUXNET_2022-2023_v1.3_r1.zip,10.17190/AMF/3027360,3.996389893405188,2,4,clustered_4x_8x,FALSE,Dsb,TRUE,HH,44.4534,-121.5619,NA,FALSE,4,638.3861166666667,NA,NA,FALSE,NA
US-NGB,30,914.8648666666668,9,1016.1852222222224,108,2.775990740740741,1016.1852222222224,108,108,0,109,171,FALSE,8.393255657492356,0.9002934176370078,0.9002934176370078,5.35008693957115,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-NGB_FLUXNET_2012-2023_v1.3_r1.zip,10.17190/AMF/1832162,6.871671298531753,2,8,clustered_4x_8x,FALSE,ET,TRUE,HH,71.28,-156.6092,0,FALSE,8,114.35810833333335,NA,NA,FALSE,NA
US-NR3,30,2853.9561,14,2745.3819285714285,168,7.497303571428572,2745.381928571429,168,168,0,686,884,FALSE,4.160285860058309,1.039547929670051,1.0395479296700507,3.2284571266968323,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-NR3_FLUXNET_2007-2024_v1.3_r1.zip,10.17190/AMF/3365271,3.69437149337757,2,4,clustered_4x_8x,FALSE,ET,TRUE,HH,40.052,-105.5864,0,FALSE,4,713.489025,NA,NA,FALSE,NA
US-Ne1,30,3120.004,20,3059.5754,240,8.36335,3059.5754,240,240,0,799,790.37,FALSE,3.904886107634543,1.0197506490606507,1.0197506490606507,3.9475233118665938,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-Ne1_FLUXNET_2001-2024_v1.3_r1.zip,10.17190/AMF/1871140,3.926204709750568,2,4,clustered_4x_8x,FALSE,Dfa,TRUE,HR,41.1651,-96.4766,0,FALSE,4,780.001,NA,NA,FALSE,NA
US-Ne2,30,3120.004,20,3059.5754,240,8.36335,3059.5754,240,240,0,799,788.89,FALSE,3.904886107634543,1.0197506490606507,1.0197506490606507,3.954929077564679,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-Ne2_FLUXNET_2001-2024_v1.3_r1.zip,10.17190/AMF/2574638,3.929907592599611,2,4,clustered_4x_8x,FALSE,Dfa,TRUE,HR,41.1649,-96.4701,0,FALSE,4,780.001,NA,NA,FALSE,NA
US-Ne3,30,3120.004,20,3059.5754,240,8.36335,3059.5754,240,240,0,797,783.68,FALSE,3.914685069008782,1.0197506490606507,1.0197506490606507,3.981221927317272,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-Ne3_FLUXNET_2001-2024_v1.3_r1.zip,10.17190/AMF/3028954,3.9479534981630273,2,4,clustered_4x_8x,FALSE,Dfa,TRUE,HR,41.1797,-96.4397,0,FALSE,4,780.001,NA,NA,FALSE,NA
US-PAS,30,4443.1348333333335,NA,NA,NA,NA,NA,NA,NA,NA,1285,1268,FALSE,3.457692477302205,NA,NA,3.504049553101998,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-PAS_FLUXNET_2021-2022_v1.3_r1.zip,10.17190/AMF/2571135,3.4808710152021014,2,4,clustered_4x_8x,FALSE,Cfa,TRUE,HH,27.3944,-81.951,NA,FALSE,4,1110.7837083333334,NA,NA,FALSE,NA
US-PFL,30,3162.7420666666667,1,3818.912,12,10.492583333333334,3818.912,12,12,0,825,823,FALSE,3.833626747474747,0.8281788285948108,0.828178828594811,3.8429429728635074,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-PFL_FLUXNET_2019-2019_v1.3_r1.zip,10.17190/AMF/2469458,3.8382848601691273,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,45.9409,-90.3177,0,FALSE,4,790.6855166666667,NA,NA,FALSE,NA
US-PFb,30,3162.7420666666667,1,3818.912,12,10.492583333333334,3818.912,12,12,0,829,823,FALSE,3.815129151588259,0.8281788285948108,0.828178828594811,3.8429429728635074,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-PFb_FLUXNET_2019-2019_v1.3_r1.zip,10.17190/AMF/2469454,3.829036062225883,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,45.972,-90.3232,0,FALSE,4,790.6855166666667,NA,NA,FALSE,NA
