site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id,ratio_badm_bio12,within_2pct,badm_round_100,badm_round_50,n_genuine_months,map_gauge,diff_badm,diff_bio12,closer_to
US-xSL,30,416.76616666666666,2,241.4995,4,0.6875,253.071,24,4,0.8333333333333334,429,432.67,FALSE,0.971482905982906,1.725743393533596,1.646834946187697,0.9632425790248148,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xSL_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/2229411,1.0085547785547786,TRUE,FALSE,FALSE,16,8.60325,424.06675,420.39675,bio12
US-xSP,30,568.4881,2,599.471,NA,NA,NA,24,0,1,842,900.35,FALSE,0.6751640142517815,0.9483162655074224,NA,0.631407896928972,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xSP_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/3028956,1.0692992874109264,FALSE,FALSE,FALSE,18,14.038000000000002,886.312,827.962,bio12
US-xSR,30,313.45043333333336,2,275.8435,2,0.318,117.228,24,2,0.9166666666666666,395,346,FALSE,0.7935454008438819,1.136334310336598,2.673852947532444,0.9059261078998074,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xSR_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/1985453,0.8759493670886076,FALSE,FALSE,FALSE,17,10.893882352941176,335.1061176470588,384.1061176470588,badm
US-xST,30,727.1521333333334,2,847.355,5,2.5538,936.6264,24,5,0.7916666666666666,803,797.56,FALSE,0.905544375259444,0.8581434385037362,0.7763523784225316,0.9117209154588162,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xST_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/1985454,0.993225404732254,TRUE,FALSE,FALSE,17,27.887999999999998,769.6719999999999,775.112,badm
US-xTE,30,555.1969,2,555.407,11,2.276727272727273,810.0916363636363,24,11,0.5416666666666667,831,1222.5,FALSE,0.6681069795427197,0.99962171884762,0.6853507369761087,0.4541487934560328,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xTE_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/3027334,1.4711191335740073,FALSE,FALSE,FALSE,12,9.344999999999999,1213.155,821.655,bio12
US-xTL,30,367.4055333333333,2,398.899,NA,NA,NA,24,0,1,239,331,FALSE,1.5372616457461643,0.9210490207629836,NA,1.1099865055387714,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xTL_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/2469475,1.3849372384937237,FALSE,FALSE,FALSE,6,10.866,320.134,228.13400000000001,bio12
US-xTR,30,682.6325,2,787.9545,8,2.78375,1019.5755,24,8,0.6666666666666667,803,797.56,FALSE,0.8501027397260275,0.8663349216230125,0.6695261900663562,0.8559011234264507,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xTR_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/1985456,0.993225404732254,TRUE,FALSE,FALSE,14,23.280857142857144,774.2791428571428,779.7191428571429,badm
US-xUK,30,926.3591666666666,2,1037.5649999999998,NA,NA,NA,24,0,1,998,990.63,FALSE,0.9282155978623914,0.8928203694868917,NA,0.9351212528054538,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xUK_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/1985457,0.9926152304609218,TRUE,FALSE,FALSE,22,30.64690909090909,959.983090909091,967.353090909091,badm
US-xUN,30,659.0398333333334,2,842.7845,NA,NA,NA,24,0,1,843,802.3,FALSE,0.7817791617240016,0.7819790626587619,NA,0.8214381569653912,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xUN_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/1985458,0.9517200474495847,FALSE,FALSE,FALSE,22,28.069636363636363,774.2303636363636,814.9303636363636,badm
US-xWD,30,560.4637333333334,2,539.0805,2,0.973,342.51599999999996,24,2,0.9166666666666666,423,493.76,FALSE,1.324973364854216,1.039666122839415,1.6363140213401226,1.1350934327068485,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xWD_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/2229412,1.1672813238770685,FALSE,FALSE,FALSE,18,17.732,476.028,405.26800000000003,bio12
US-xWR,30,2135.3224333333333,2,1926.2605,2,8.183,2862.87,24,2,0.9166666666666666,1966,2225.01,FALSE,1.086125347575449,1.108532534064491,0.7458677597422633,0.959691162436723,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xWR_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/2571118,1.1317446592065108,FALSE,FALSE,FALSE,21,61.872,2163.1380000000004,1904.128,bio12
US-xYE,30,488.4209333333333,2,466.3615,2,1.9145,666.69,24,2,0.9166666666666666,590,493.44,FALSE,0.8278320903954802,1.0473011458564512,0.732605758798442,0.9898284154777344,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_US-xYE_FLUXNET_2019-2024_v1.3_r1.zip,10.17190/AMF/1985459,0.8363389830508474,FALSE,FALSE,FALSE,10,12.888000000000002,480.552,577.112,badm
VU-Coc,30,2593.5981,4,2406.94075,11,7.0590909090909095,2553.3043636363636,48,11,0.7708333333333334,2897,2763,FALSE,0.8952703141180532,1.077549623936526,1.0157810157447311,0.9386891422366992,TRUE,FALSE,ICOS,FLX,v1.3,FLX_VU-Coc_FLUXNET_2001-2004_v1.3_r1.zip,PrWE9DMXpEen7ZyDmWcJ1EnX,0.9537452537107353,FALSE,FALSE,FALSE,35,80.27314285714286,2682.726857142857,2816.726857142857,badm
ZA-BfK,30,479.7237666666667,1,565.603,4,1.35325,481.443,12,4,0.6666666666666667,440,441,FALSE,1.090281287878788,0.8481634055453502,0.9964289992100138,1.0878089947089948,TRUE,FALSE,ICOS,SAEON,v1.3,SAEON_ZA-BfK_FLUXNET_2020-2024_v1.3_r1.zip,L3b447DFrFAeO56M1P7eueuq,1.0022727272727272,TRUE,FALSE,FALSE,5,21.374399999999998,419.6256,418.6256,bio12
ZA-BfS,30,393.1416,1,620.7079999999999,2,2.3065,821.8739999999999,12,2,0.8333333333333334,437,445,FALSE,0.899637528604119,0.6333760802180738,0.4783477759364575,0.8834642696629215,TRUE,FALSE,ICOS,SAEON,v1.3,SAEON_ZA-BfS_FLUXNET_2020-2024_v1.3_r1.zip,7D87eYcefMtCZ131SjGfAEvu,1.0183066361556063,TRUE,FALSE,FALSE,9,17.592,427.408,419.408,bio12
ZM-Mon,30,503.8849666666667,3,585.137,13,1.318,479.36215384615383,36,13,0.6388888888888888,877,945,FALSE,0.5745552641581148,0.8611401546418476,1.0511571733891685,0.5332116049382716,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ZM-Mon_FLUXNET_2007-2009_v1.3_r1.zip,CjQxQ-dZrlyJEZPXAaFSepVI,1.0775370581527937,FALSE,FALSE,FALSE,21,23.023428571428575,921.9765714285714,853.9765714285714,bio12
