site_id,location_lat,location_long,diff,axis,biomass_percentile
FI-Ken,67.98721,24.24301,17.597502636718744,nee,83.32000000000001
FI-Hyy,61.847410000000004,24.29477,193.48304501342773,nee,83.39999999999999
FI-Ant,63.16347,27.234991,249.19536264038084,nee,10.16
ES-LMa,39.94033,-5.77465,11.94695666503906,nee,54.84
DK-Vng,56.037476,9.160709,129.56921133422853,nee,51
DK-Sor,55.48587,11.644645,206.0203514099121,nee,97.44
DK-Skj,55.91273,8.40481,61.16063098754883,nee,47.68
DK-RCW,55.680683,12.101398,326.3993582763671,nee,49.559999999999995
DK-Gds,56.0737,9.3341,923.0752113342285,nee,99.88
DE-Tha,50.962597,13.565333,422.72155444335937,nee,90
DE-RuS,50.865906,6.4471445,452.33370816040036,nee,12.04
DE-RuR,50.621914,6.304126,130.97970816040038,nee,55.96
DE-Msr,47.80918,11.456168,515.8451223144532,nee,44.800000000000004
DE-Kli,50.893044,13.5223,39.73235444335937,nee,26.8
DE-RuW,50.50493,6.3309627,391.0757081604004,nee,94.64
DE-Hzd,50.96381,13.48978,172.87617764282226,nee,94.92
DE-HoH,52.08656,11.22235,209.10523348999027,nee,96.24000000000001
DE-Har,47.93391,7.59814,108.14358862304687,nee,33.12
DE-Hai,51.079212,10.452168,465.2460350341797,nee,96.28
