resolution,global_mean_abs_nbp,global_mean_et
0.5deg,35.36250184148096,457.1518834395744
1deg,33.19906537745252,474.94609762423715
2deg,30.765561191843695,507.0205504091526
4deg,27.649371526199424,558.6299083033406
