igbp_class,global_land_fraction
ENF,0.05948741726661566
EBF,0.08620521263522463
DNF,0.03375475536810497
DBF,0.07096507653741628
MF,0.01452582521512469
CSH,0
OSH,0.08986215710901307
WSA,0.02575532265839127
SAV,0.00750067877327833
GRA,0.09595671185115831
WET,0.020683337284361822
CRO,0.12443867889241039
URB,0.00588946588127204
CVM,0.05042176576038214
SNO,0.09925020816666408
BSV,0.19046332012651018
WAT,0.02484006647407195
