site_id,variable,mean_hh_mm,n_years_hh,mean_dd_mm,n_years_dd,mean_mm_mm,n_years_mm,mean_yy_mm,n_years_yy,bio12_mm,badm_map_mm
IT-MBo,P_ERA,1126.0970666666665,45,23905.153000000002,44,23905.149022727273,44,23905.153704545453,44,407,1365
IT-MBo,P_F,1152.8071304347827,23,24472.341954545445,22,24472.33886363636,22,24472.341772727275,22,407,1365
US-HB4,P_ERA,657076.7248444443,45,657076.6963111112,45,657076.7023777778,45,657076.6954,45,1350,1429
US-HB4,P_F,24571.836599999995,5,24571.837199999998,5,24571.8308,5,24571.8372,5,1350,1429
FI-Hyy,P_ERA,709.184222222222,45,712.2286666666666,45,712.2230666666667,45,712.2290666666667,45,663,711
FI-Hyy,P_F,700.3326551724135,29,701.5704285714284,28,701.5606428571429,28,701.5699642857143,28,663,711
