site_id,year,n_total,n_measured,frac_measured,measured_annual_total_mm
IT-MBo,2003,17520,16570,0.9457762557077626,649.0000000000045
IT-MBo,2004,17568,17495,0.9958447176684881,931.2000000000072
IT-MBo,2005,17520,17520,1,882.100000000008
IT-MBo,2006,17520,17520,1,732.4000000000059
IT-MBo,2007,17520,17520,1,1018.0000000000059
IT-MBo,2008,17568,14790,0.8418715846994536,1082.9720000000007
IT-MBo,2009,17520,15990,0.9126712328767124,976.900000000005
IT-MBo,2010,17520,17324,0.9888127853881279,1255.8999999999965
IT-MBo,2011,17520,16872,0.963013698630137,753.5000000000028
IT-MBo,2012,17568,17366,0.9885018214936248,940.900000000002
IT-MBo,2013,17520,8831,0.5040525114155251,483.4000000000018
IT-MBo,2014,17520,16472,0.9401826484018265,1043.1000000000074
IT-MBo,2015,17520,17228,0.9833333333333333,1032.0000000000045
IT-MBo,2016,17568,16998,0.9675546448087432,1347.3999999999924
IT-MBo,2017,17520,17424,0.9945205479452055,669.6000000000038
IT-MBo,2018,17520,7226,0.4124429223744292,391.80000000000047
IT-MBo,2019,17520,17303,0.9876141552511416,1742.0710000000001
IT-MBo,2020,17568,17542,0.9985200364298725,1510.6609999999982
IT-MBo,2021,17520,0,0,0
IT-MBo,2022,17520,1872,0.10684931506849316,102.97999999999999
IT-MBo,2023,17520,17288,0.9867579908675799,1562.3199999999981
IT-MBo,2024,17568,17280,0.9836065573770492,1916.159999999995
IT-MBo,2025,17520,15364,0.8769406392694064,1125.6199999999947
US-HB4,2020,17568,17414,0.9912340619307832,1242.7999999999975
US-HB4,2021,17520,16741,0.9555365296803653,959.3000000000025
US-HB4,2022,17520,17289,0.9868150684931507,987.1000000000018
US-HB4,2023,17520,17097,0.9758561643835616,1301.6999999999987
US-HB4,2024,17568,17541,0.9984631147540983,3326.500000000008
FI-Hyy,1997,17520,0,0,0
FI-Hyy,1998,17520,0,0,0
FI-Hyy,1999,17520,0,0,0
FI-Hyy,2000,17568,0,0,0
FI-Hyy,2001,17520,0,0,0
FI-Hyy,2002,17520,0,0,0
FI-Hyy,2003,17520,0,0,0
FI-Hyy,2004,17568,0,0,0
FI-Hyy,2005,17520,13008,0.7424657534246575,556.4299999999921
FI-Hyy,2006,17520,17520,1,503.9499999999954
FI-Hyy,2007,17520,17520,1,527.1799999999944
FI-Hyy,2008,17568,17568,1,892.7899999999885
FI-Hyy,2009,17520,17520,1,565.6699999999923
FI-Hyy,2010,17520,17520,1,722.9899999999877
FI-Hyy,2011,17520,17520,1,777.0699999999902
FI-Hyy,2012,17568,17568,1,924.7999999999832
FI-Hyy,2013,17520,17520,1,630.2599999999919
FI-Hyy,2014,17520,17520,1,635.0999999999921
FI-Hyy,2015,17520,17520,1,673.9499999999942
FI-Hyy,2016,17568,17568,1,711.5899999999926
FI-Hyy,2017,17520,17520,1,757.4999999999931
FI-Hyy,2018,17520,16032,0.915068493150685,529.8199999999965
FI-Hyy,2019,17520,16918,0.9656392694063927,739.2300000000048
FI-Hyy,2020,17568,17008,0.9681238615664846,737.6999999999964
FI-Hyy,2021,17520,16145,0.9215182648401826,696.6299999999983
FI-Hyy,2022,17520,16905,0.9648972602739726,751.359999999987
FI-Hyy,2023,17520,16758,0.9565068493150685,830.7200000000015
FI-Hyy,2024,17568,17494,0.995787795992714,811.1499999999953
FI-Hyy,2025,17520,16150,0.9218036529680366,596.8499999999971
